CODE,RG CODE,NB CODE,PLAYER,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,,PTS / G,REB / G,AST / G,STL / G,BLK / G,TOV / G,FG%,3P%,FT%,,RESULT
Arron Afflalo DEN 2010,Arron Afflalo,,Arron Afflalo,2010,DEN,6,120.3,55,20,32,0.625,6,14,0.429,9,11,0.818,1,11,12,7,1,2,4,21,,9.17,2.00,1.17,0.17,0.33,0.67,0.63,0.43,0.82,10.00,First Round
Arron Afflalo DEN 2011,Arron Afflalo,,Arron Afflalo,2011,DEN,3,85.1,34,12,34,0.353,3,12,0.25,7,8,0.875,0,9,9,7,0,0,3,10,,11.33,3.00,2.33,0.00,0.00,1.00,0.35,0.25,0.88,10.00,First Round
Arron Afflalo DEN 2012,Arron Afflalo,,Arron Afflalo,2012,DEN,7,229.4,76,30,74,0.405,4,20,0.2,12,15,0.8,5,20,25,19,5,2,9,14,,10.86,3.57,2.71,0.71,0.29,1.29,0.41,0.20,0.80,10.00,First Round
Arron Afflalo POR 2015,Arron Afflalo,,Arron Afflalo,2015,POR,3,59.9,5,2,12,0.167,1,4,0.25,0,1,0,0,7,7,2,0,0,3,6,,1.67,2.33,0.67,0.00,0.00,1.00,0.17,0.25,0.00,10.00,First Round
Art Harris PHX 1970,Art Harris,,Art Harris,1970,PHX,7,89,30,15,42,0.357,,,,0,2,0,,,13,12,,,,13,,4.29,1.86,1.71,0.00,0.00,0.00,0.36,0.00,0.00,100.00,Conf Semis
Art Hillhouse GSW 1947,Art Hillhouse,,Art Hillhouse,1947,GSW,10,0,87,24,91,0.264,,,,39,46,0.848,,,0,8,,,,41,,8.70,0.00,0.80,0.00,0.00,0.00,0.26,0.00,0.85,"100,000.00",Champion
Art Spector BOS 1948,Art Spector,,Art Spector,1948,BOS,3,0,6,2,9,0.222,,,,2,4,0.5,,,0,0,,,,9,,2.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.50,100.00,Conf Semis
Art Spector BOS 1949,Art Spector,,Art Spector,1949,BOS,3,0,6,2,9,0.222,,,,2,4,0.5,,,0,0,,,,9,,2.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.50,,
Art Spoelstra SAC 1955,Art Spoelstra,,Art Spoelstra,1955,SAC,3,28,15,7,14,0.5,,,,1,1,1,,,9,0,,,,11,,5.00,3.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,100.00,Conf Semis
Art Williams HOU 1969,Art Williams,,Art Williams,1969,HOU,6,102,27,12,25,0.48,,,,3,7,0.429,,,17,32,,,,15,,4.50,2.83,5.33,0.00,0.00,0.00,0.48,0.00,0.43,100.00,Conf Semis
Art Williams BOS 1972,Art Williams,,Art Williams,1972,BOS,11,173,65,25,64,0.391,,,,15,20,0.75,,,28,33,,,,30,,5.91,2.55,3.00,0.00,0.00,0.00,0.39,0.00,0.75,"1,000.00",Conf Finalist
Art Williams BOS 1973,Art Williams,,Art Williams,1973,BOS,10,156,48,21,47,0.447,,,,6,8,0.75,,,27,41,,,,31,,4.80,2.70,4.10,0.00,0.00,0.00,0.45,0.00,0.75,"1,000.00",Conf Finalist
Art Williams BOS 1974,Art Williams,,Art Williams,1974,BOS,12,96,27,10,27,0.37,,,,7,8,0.875,4,19,23,29,7,0,,14,,2.25,1.92,2.42,0.58,0.00,0.00,0.37,0.00,0.88,"100,000.00",Champion
Artis Gilmore CHI 1977,Artis Gilmore,,Artis Gilmore,1977,CHI,3,126,56,19,40,0.475,,,,18,23,0.783,15,24,39,6,3,8,,9,,18.67,13.00,2.00,1.00,2.67,0.00,0.48,0.00,0.78,10.00,First Round
Artis Gilmore CHI 1981,Artis Gilmore,,Artis Gilmore,1981,CHI,6,247,108,35,60,0.583,0,0,0,38,55,0.691,24,43,67,12,6,17,17,15,,18.00,11.17,2.00,1.00,2.83,2.83,0.58,0.00,0.69,100.00,Conf Semis
Artis Gilmore SAS 1983,Artis Gilmore,,Artis Gilmore,1983,SAS,11,401,184,76,132,0.576,0,0,0,32,46,0.696,37,105,142,18,9,34,27,46,,16.73,12.91,1.64,0.82,3.09,2.45,0.58,0.00,0.70,"1,000.00",Conf Finalist
Artis Gilmore SAS 1985,Artis Gilmore,,Artis Gilmore,1985,SAS,5,185,89,29,52,0.558,0,0,0,31,45,0.689,10,40,50,7,2,7,23,18,,17.80,10.00,1.40,0.40,1.40,4.60,0.56,0.00,0.69,10.00,First Round
Artis Gilmore SAS 1986,Artis Gilmore,,Artis Gilmore,1986,SAS,3,107,40,16,24,0.667,0,0,0,8,14,0.571,7,11,18,3,7,1,10,11,,13.33,6.00,1.00,2.33,0.33,3.33,0.67,0.00,0.57,10.00,First Round
Artis Gilmore BOS 1988,Artis Gilmore,,Artis Gilmore,1988,BOS,14,86,15,4,8,0.5,0,0,0,7,14,0.5,4,16,20,1,0,4,4,14,,1.07,1.43,0.07,0.00,0.29,0.29,0.50,0.00,0.50,"1,000.00",Conf Finalist
Arvydas Sabonis POR 1996,Arvydas Sabonis,,Arvydas Sabonis,1996,POR,5,177,118,35,81,0.432,5,9,0.556,43,60,0.717,12,39,51,9,4,3,10,17,,23.60,10.20,1.80,0.80,0.60,2.00,0.43,0.56,0.72,10.00,First Round
Arvydas Sabonis POR 1997,Arvydas Sabonis,,Arvydas Sabonis,1997,POR,4,108,45,18,42,0.429,2,8,0.25,7,8,0.875,8,18,26,9,3,3,9,19,,11.25,6.50,2.25,0.75,0.75,2.25,0.43,0.25,0.88,10.00,First Round
Arvydas Sabonis POR 1998,Arvydas Sabonis,,Arvydas Sabonis,1998,POR,4,107,49,18,40,0.45,1,2,0.5,12,14,0.857,7,24,31,6,7,3,10,19,,12.25,7.75,1.50,1.75,0.75,2.50,0.45,0.50,0.86,10.00,First Round
Arvydas Sabonis POR 1999,Arvydas Sabonis,,Arvydas Sabonis,1999,POR,13,392,130,45,113,0.398,1,5,0.2,39,43,0.907,12,102,114,29,15,15,19,35,,10.00,8.77,2.23,1.15,1.15,1.46,0.40,0.20,0.91,"1,000.00",Conf Finalist
Arvydas Sabonis POR 2000,Arvydas Sabonis,,Arvydas Sabonis,2000,POR,16,493,181,68,150,0.453,6,21,0.286,39,49,0.796,19,88,107,31,14,13,26,59,,11.31,6.69,1.94,0.88,0.81,1.63,0.45,0.29,0.80,"1,000.00",Conf Finalist
Arvydas Sabonis POR 2001,Arvydas Sabonis,,Arvydas Sabonis,2001,POR,3,104,34,14,29,0.483,0,2,0,6,8,0.75,8,17,25,8,1,7,2,12,,11.33,8.33,2.67,0.33,2.33,0.67,0.48,0.00,0.75,10.00,First Round
Arvydas Sabonis POR 2003,Arvydas Sabonis,,Arvydas Sabonis,2003,POR,6,86,60,24,36,0.667,0,0,0,12,15,0.8,6,18,24,5,4,4,6,14,,10.00,4.00,0.83,0.67,0.67,1.00,0.67,0.00,0.80,10.00,First Round
Aubrey Davis STB 1947,Aubrey Davis,,Aubrey Davis,1947,STB,3,0,7,2,6,0.333,,,,3,3,1,,,0,0,,,,3,,2.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.00,100.00,Conf Semis
Aud Brindley NYK 1947,Aud Brindley,,Aud Brindley,1947,NYK,3,0,10,3,6,0.5,,,,4,6,0.667,,,0,0,,,,4,,3.33,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.67,"1,000.00",Conf Finalist
Audie Norris POR 1983,Audie Norris,,Audie Norris,1983,POR,7,53,15,7,13,0.538,0,0,0,1,2,0.5,3,9,12,5,2,2,2,5,,2.14,1.71,0.71,0.29,0.29,0.29,0.54,0.00,0.50,100.00,Conf Semis
Audie Norris POR 1984,Audie Norris,,Audie Norris,1984,POR,5,52,17,6,10,0.6,0,0,0,5,8,0.625,6,10,16,4,1,1,5,13,,3.40,3.20,0.80,0.20,0.20,1.00,0.60,0.00,0.63,10.00,First Round
Audie Norris POR 1985,Audie Norris,,Audie Norris,1985,POR,8,109,47,19,32,0.594,0,0,0,9,22,0.409,22,21,43,3,4,5,11,25,,5.88,5.38,0.38,0.50,0.63,1.38,0.59,0.00,0.41,100.00,Conf Semis
Austin Carr CLE 1976,Austin Carr,,Austin Carr,1976,CLE,13,273,154,66,138,0.478,,,,22,36,0.611,11,12,23,26,6,3,,29,,11.85,1.77,2.00,0.46,0.23,0.00,0.48,0.00,0.61,"1,000.00",Conf Finalist
Austin Carr CLE 1977,Austin Carr,,Austin Carr,1977,CLE,3,83,23,11,39,0.282,,,,1,3,0.333,4,6,10,10,2,1,,13,,7.67,3.33,3.33,0.67,0.33,0.00,0.28,0.00,0.33,10.00,First Round
Austin Carr CLE 1978,Austin Carr,,Austin Carr,1978,CLE,2,69,35,10,27,0.37,,,,15,16,0.938,3,5,8,5,2,1,4,8,,17.50,4.00,2.50,1.00,0.50,2.00,0.37,0.00,0.94,10.00,First Round
Austin Croshere IND 1999,Austin Croshere,,Austin Croshere,1999,IND,1,1,2,0,1,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"1,000.00",Conf Finalist
Austin Croshere IND 2000,Austin Croshere,,Austin Croshere,2000,IND,23,490,216,64,153,0.418,15,37,0.405,73,87,0.839,31,78,109,19,9,16,25,51,,9.39,4.74,0.83,0.39,0.70,1.09,0.42,0.41,0.84,"10,000.00",Finalist
Austin Croshere IND 2001,Austin Croshere,,Austin Croshere,2001,IND,4,129,43,14,35,0.4,2,10,0.2,13,15,0.867,5,15,20,6,4,2,9,15,,10.75,5.00,1.50,1.00,0.50,2.25,0.40,0.20,0.87,10.00,First Round
Austin Croshere IND 2002,Austin Croshere,,Austin Croshere,2002,IND,4,59,24,8,20,0.4,2,6,0.333,6,8,0.75,4,10,14,2,1,1,6,7,,6.00,3.50,0.50,0.25,0.25,1.50,0.40,0.33,0.75,10.00,First Round
Austin Croshere IND 2003,Austin Croshere,,Austin Croshere,2003,IND,4,46,16,5,19,0.263,0,6,0,6,7,0.857,8,9,17,3,0,1,3,5,,4.00,4.25,0.75,0.00,0.25,0.75,0.26,0.00,0.86,10.00,First Round
Austin Croshere IND 2004,Austin Croshere,,Austin Croshere,2004,IND,13,214,63,19,55,0.345,8,24,0.333,17,21,0.81,13,27,40,12,4,3,6,17,,4.85,3.08,0.92,0.31,0.23,0.46,0.35,0.33,0.81,"1,000.00",Conf Finalist
Austin Croshere IND 2005,Austin Croshere,,Austin Croshere,2005,IND,10,88,25,4,10,0.4,2,4,0.5,15,18,0.833,7,10,17,0,4,1,6,10,,2.50,1.70,0.00,0.40,0.10,0.60,0.40,0.50,0.83,100.00,Conf Semis
Austin Croshere IND 2006,Austin Croshere,,Austin Croshere,2006,IND,6,174.7,49,12,38,0.316,9,23,0.391,16,18,0.889,5,17,22,7,5,0,6,11,,8.17,3.67,1.17,0.83,0.00,1.00,0.32,0.39,0.89,10.00,First Round
Austin Croshere DAL 2007,Austin Croshere,,Austin Croshere,2007,DAL,3,33.5,15,4,12,0.333,3,4,0.75,4,4,1,3,3,6,0,0,0,2,5,,5.00,2.00,0.00,0.00,0.00,0.67,0.33,0.75,1.00,10.00,First Round
Austin Daye MEM 2013,Austin Daye,,Austin Daye,2013,MEM,4,19.9,7,3,8,0.375,0,1,0,1,1,1,0,1,1,0,0,1,1,2,,1.75,0.25,0.00,0.00,0.25,0.25,0.38,0.00,1.00,"1,000.00",Conf Finalist
Austin Daye SAS 2014,Austin Daye,,Austin Daye,2014,SAS,1,5.9,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"100,000.00",Champion
Austin Reaves LAL 2023,Austin Reaves,Austin Reaves,Austin Reaves,2023,LAL,16,579.2,270,90,194,0.464,39,88,0.443,51,57,0.895,20,51,71,73,10,3,25,39,,16.88,4.44,4.56,0.63,0.19,1.56,0.46,0.44,0.89,"1,000.00",Conf Finalist
Austin Reaves LAL 2024,Austin Reaves,Austin Reaves,Austin Reaves,2024,LAL,5,174.1,84,30,63,47.6,7,26,26.9,17,19,89.5,5,14,19,18,7,3,4,8,,16.80,3.80,3.60,1.40,0.60,0.80,0.48,0.27,0.89,10.00,First Round
Austin Rivers LAC 2015,Austin Rivers,,Austin Rivers,2015,LAC,14,250.2,117,46,105,0.438,13,35,0.371,12,19,0.632,6,18,24,16,10,4,12,28,,8.36,1.71,1.14,0.71,0.29,0.86,0.44,0.37,0.63,100.00,Conf Semis
Austin Rivers LAC 2016,Austin Rivers,,Austin Rivers,2016,LAC,6,143.8,62,26,61,0.426,4,17,0.235,6,9,0.667,4,12,16,16,3,0,7,12,,10.33,2.67,2.67,0.50,0.00,1.17,0.43,0.24,0.67,10.00,First Round
Austin Rivers LAC 2017,Austin Rivers,,Austin Rivers,2017,LAC,3,90.2,24,9,26,0.346,4,13,0.308,2,2,1,1,7,8,2,1,1,5,6,,8.00,2.67,0.67,0.33,0.33,1.67,0.35,0.31,1.00,10.00,First Round
Austin Rivers HOU 2019,Austin Rivers,,Austin Rivers,2019,HOU,10,215.4,74,27,62,0.435,16,35,0.457,4,6,0.667,2,19,21,10,5,1,8,31,,7.40,2.10,1.00,0.50,0.10,0.80,0.44,0.46,0.67,100.00,Conf Semis
Austin Rivers HOU 2020,Austin Rivers,,Austin Rivers,2020,HOU,12,211,57,19,61,0.311,9,35,0.257,10,13,0.769,2,28,30,16,7,1,8,22,,4.75,2.50,1.33,0.58,0.08,0.67,0.31,0.26,0.77,100.00,Conf Semis
Austin Rivers DEN 2021,Austin Rivers,,Austin Rivers,2021,DEN,10,305,92,30,69,0.435,19,46,0.413,13,16,0.813,1,16,17,21,2,3,9,32,,9.20,1.70,2.10,0.20,0.30,0.90,0.43,0.41,0.81,100.00,Conf Semis
Austin Rivers DEN 2022,Austin Rivers,,Austin Rivers,2022,DEN,5,108.4,21,8,18,0.444,4,12,0.333,1,1,1,0,3,3,6,7,1,4,15,,4.20,0.60,1.20,1.40,0.20,0.80,0.44,0.33,1.00,10.00,First Round
Austin Rivers MIN 2023,Austin Rivers,,Austin Rivers,2023,MIN,4,46.2,10,4,8,0.5,2,6,0.333,0,0,0,1,4,5,1,1,0,1,1,,2.50,1.25,0.25,0.25,0.00,0.25,0.50,0.33,0.00,10.00,First Round
Avery Bradley BOS 2012,Avery Bradley,,Avery Bradley,2012,BOS,10,248.4,67,25,68,0.368,5,22,0.227,12,18,0.667,3,17,20,8,8,6,10,20,,6.70,2.00,0.80,0.80,0.60,1.00,0.37,0.23,0.67,"1,000.00",Conf Finalist
Avery Bradley BOS 2013,Avery Bradley,,Avery Bradley,2013,BOS,6,191.2,40,17,42,0.405,2,8,0.25,4,4,1,3,10,13,8,11,1,11,11,,6.67,2.17,1.33,1.83,0.17,1.83,0.40,0.25,1.00,10.00,First Round
Avery Bradley BOS 2015,Avery Bradley,,Avery Bradley,2015,BOS,4,133.1,49,19,50,0.38,5,19,0.263,6,7,0.857,3,12,15,3,3,0,3,13,,12.25,3.75,0.75,0.75,0.00,0.75,0.38,0.26,0.86,10.00,First Round
Avery Bradley BOS 2016,Avery Bradley,,Avery Bradley,2016,BOS,1,33.2,18,7,16,0.438,1,7,0.143,3,3,1,2,1,3,1,1,1,1,2,,18.00,3.00,1.00,1.00,1.00,1.00,0.44,0.14,1.00,10.00,First Round
Avery Bradley BOS 2017,Avery Bradley,,Avery Bradley,2017,BOS,18,644.7,301,120,272,0.441,40,114,0.351,21,27,0.778,18,53,71,41,23,3,31,40,,16.72,3.94,2.28,1.28,0.17,1.72,0.44,0.35,0.78,"1,000.00",Conf Finalist
Avery Johnson OKC 1989,Avery Johnson,,Avery Johnson,1989,OKC,6,31,11,5,12,0.417,0,4,0,1,2,0.5,2,2,4,5,4,0,0,1,,1.83,0.67,0.83,0.67,0.00,0.00,0.42,0.00,0.50,100.00,Conf Semis
Avery Johnson SAS 1991,Avery Johnson,,Avery Johnson,1991,SAS,3,19,2,0,5,0,0,1,0,2,2,1,0,0,0,4,1,0,0,3,,0.67,0.00,1.33,0.33,0.00,0.00,0.00,0.00,1.00,10.00,First Round
Avery Johnson SAS 1993,Avery Johnson,,Avery Johnson,1993,SAS,10,314,82,36,70,0.514,0,1,0,10,14,0.714,8,23,31,81,10,1,23,27,,8.20,3.10,8.10,1.00,0.10,2.30,0.51,0.00,0.71,100.00,Conf Semis
Avery Johnson GSW 1994,Avery Johnson,,Avery Johnson,1994,GSW,3,41,18,9,17,0.529,0,1,0,0,0,0,0,3,3,10,4,1,3,2,,6.00,1.00,3.33,1.33,0.33,1.00,0.53,0.00,0.00,10.00,First Round
Avery Johnson SAS 1995,Avery Johnson,,Avery Johnson,1995,SAS,15,575,218,91,176,0.517,0,1,0,36,58,0.621,9,23,32,125,20,6,30,29,,14.53,2.13,8.33,1.33,0.40,2.00,0.52,0.00,0.62,"1,000.00",Conf Finalist
Avery Johnson SAS 1996,Avery Johnson,,Avery Johnson,1996,SAS,10,407,123,52,121,0.43,0,2,0,19,27,0.704,6,30,36,94,20,1,24,21,,12.30,3.60,9.40,2.00,0.10,2.40,0.43,0.00,0.70,100.00,Conf Semis
Avery Johnson SAS 1998,Avery Johnson,,Avery Johnson,1998,SAS,9,342,156,61,101,0.604,0,2,0,34,51,0.667,3,10,13,55,9,0,21,27,,17.33,1.44,6.11,1.00,0.00,2.33,0.60,0.00,0.67,100.00,Conf Semis
Avery Johnson SAS 1999,Avery Johnson,,Avery Johnson,1999,SAS,17,653,215,91,187,0.487,1,3,0.333,32,47,0.681,9,33,42,126,20,1,50,30,,12.65,2.47,7.41,1.18,0.06,2.94,0.49,0.33,0.68,"100,000.00",Champion
Avery Johnson SAS 2000,Avery Johnson,,Avery Johnson,2000,SAS,4,144,48,19,42,0.452,0,0,0,10,14,0.714,2,7,9,21,4,0,10,10,,12.00,2.25,5.25,1.00,0.00,2.50,0.45,0.00,0.71,10.00,First Round
Avery Johnson SAS 2001,Avery Johnson,,Avery Johnson,2001,SAS,13,281,76,34,88,0.386,0,1,0,8,15,0.533,3,13,16,41,10,1,10,24,,5.85,1.23,3.15,0.77,0.08,0.77,0.39,0.00,0.53,"1,000.00",Conf Finalist
Axel Toupane MIL 2021,Axel Toupane,,Axel Toupane,2021,MIL,4,9.8,5,2,4,0.5,1,2,0.5,0,0,0,2,2,4,0,0,0,0,0,,1.25,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,"100,000.00",Champion
Ayo Dosunmu CHI 2022,Ayo Dosunmu,Ayo Dosunmu,Ayo Dosunmu,2022,CHI,5,85.7,20,8,26,0.308,3,13,0.231,1,1,1,4,9,13,11,1,0,3,5,,4.00,2.60,2.20,0.20,0.00,0.60,0.31,0.23,1.00,10.00,First Round
Bailey Howell DET 1960,Bailey Howell,,Bailey Howell,1960,DET,2,72,34,14,41,0.341,,,,6,8,0.75,,,17,3,,,,8,,17.00,8.50,1.50,0.00,0.00,0.00,0.34,0.00,0.75,100.00,Conf Semis
Bailey Howell DET 1961,Bailey Howell,,Bailey Howell,1961,DET,5,154,56,20,57,0.351,,,,16,23,0.696,,,46,22,,,,22,,11.20,9.20,4.40,0.00,0.00,0.00,0.35,0.00,0.70,100.00,Conf Semis
Bailey Howell DET 1962,Bailey Howell,,Bailey Howell,1962,DET,10,378,200,69,163,0.423,,,,62,75,0.827,,,96,23,,,,48,,20.00,9.60,2.30,0.00,0.00,0.00,0.42,0.00,0.83,"1,000.00",Conf Finalist
Bailey Howell DET 1963,Bailey Howell,,Bailey Howell,1963,DET,4,163,71,24,64,0.375,,,,23,27,0.852,,,42,11,,,,19,,17.75,10.50,2.75,0.00,0.00,0.00,0.38,0.00,0.85,100.00,Conf Semis
Bailey Howell WAS 1965,Bailey Howell,,Bailey Howell,1965,WAS,9,350,187,67,130,0.515,,,,53,70,0.757,,,105,19,,,,38,,20.78,11.67,2.11,0.00,0.00,0.00,0.52,0.00,0.76,"1,000.00",Conf Finalist
Bailey Howell WAS 1966,Bailey Howell,,Bailey Howell,1966,WAS,3,94,54,23,50,0.46,,,,8,11,0.727,,,30,2,,,,13,,18.00,10.00,0.67,0.00,0.00,0.00,0.46,0.00,0.73,100.00,Conf Semis
Bailey Howell BOS 1967,Bailey Howell,,Bailey Howell,1967,BOS,9,241,138,59,122,0.484,,,,20,30,0.667,,,66,5,,,,35,,15.33,7.33,0.56,0.00,0.00,0.00,0.48,0.00,0.67,"1,000.00",Conf Finalist
Bailey Howell BOS 1968,Bailey Howell,,Bailey Howell,1968,BOS,19,597,344,135,264,0.511,,,,74,107,0.692,,,146,22,,,,84,,18.11,7.68,1.16,0.00,0.00,0.00,0.51,0.00,0.69,"100,000.00",Champion
Bailey Howell BOS 1969,Bailey Howell,,Bailey Howell,1969,BOS,18,551,270,112,229,0.489,,,,46,64,0.719,,,118,19,,,,84,,15.00,6.56,1.06,0.00,0.00,0.00,0.49,0.00,0.72,"100,000.00",Champion
Bailey Howell PHI 1971,Bailey Howell,,Bailey Howell,1971,PHI,7,122,47,19,45,0.422,,,,9,18,0.5,,,31,4,,,,25,,6.71,4.43,0.57,0.00,0.00,0.00,0.42,0.00,0.50,100.00,Conf Semis
Bam Adebayo MIA 2018,Bam Adebayo,Bam Adebayo,Bam Adebayo,2018,MIA,5,77.1,17,7,15,0.467,0,1,0,3,14,0.214,9,11,20,0,0,2,2,8,,3.40,4.00,0.00,0.00,0.40,0.40,0.47,0.00,0.21,10.00,First Round
Bam Adebayo MIA 2020,Bam Adebayo,Bam Adebayo,Bam Adebayo,2020,MIA,19,687.2,338,124,220,0.564,0,1,0,90,115,0.783,47,149,196,84,19,16,47,58,,17.79,10.32,4.42,1.00,0.84,2.47,0.56,0.00,0.78,"10,000.00",Finalist
Bam Adebayo MIA 2021,Bam Adebayo,Bam Adebayo,Bam Adebayo,2021,MIA,4,135.9,62,26,57,0.456,0,0,0,10,13,0.769,14,23,37,17,5,2,11,11,,15.50,9.25,4.25,1.25,0.50,2.75,0.46,0.00,0.77,10.00,First Round
Bam Adebayo MIA 2022,Bam Adebayo,Bam Adebayo,Bam Adebayo,2022,MIA,18,613.7,266,104,175,0.594,0,1,0,58,76,0.763,37,107,144,48,18,13,38,55,,14.78,8.00,2.67,1.00,0.72,2.11,0.59,0.00,0.76,"1,000.00",Conf Finalist
Bam Adebayo MIA 2023,Bam Adebayo,Bam Adebayo,Bam Adebayo,2023,MIA,23,849.6,412,167,347,0.481,0,3,0,78,95,0.821,63,164,227,85,20,15,62,71,,17.91,9.87,3.70,0.87,0.65,2.70,0.48,0.00,0.82,"10,000.00",Finalist
Bam Adebayo MIA 2024,Bam Adebayo,Bam Adebayo,Bam Adebayo,2024,MIA,5,192.5,113,48,97,49.5,2,10,20,15,21,71.4,11,36,47,19,2,0,8,15,,22.60,9.40,3.80,0.40,0.00,1.60,0.49,0.20,0.71,10.00,First Round
Barney Cable PHI 1960,Barney Cable,,Barney Cable,1960,PHI,3,63,14,5,14,0.357,,,,4,8,0.5,,,28,1,,,,12,,4.67,9.33,0.33,0.00,0.00,0.00,0.36,0.00,0.50,100.00,Conf Semis
Barney Cable PHI 1961,Barney Cable,,Barney Cable,1961,PHI,8,185,62,26,65,0.4,,,,10,17,0.588,,,61,7,,,,29,,7.75,7.63,0.88,0.00,0.00,0.00,0.40,0.00,0.59,"1,000.00",Conf Finalist
Baron Davis CHA 2000,Baron Davis,,Baron Davis,2000,CHA,4,57,23,10,23,0.435,1,6,0.167,2,4,0.5,3,3,6,6,4,0,3,6,,5.75,1.50,1.50,1.00,0.00,0.75,0.43,0.17,0.50,10.00,First Round
Baron Davis CHA 2001,Baron Davis,,Baron Davis,2001,CHA,10,397,178,59,123,0.48,20,50,0.4,40,56,0.714,9,35,44,58,28,5,22,33,,17.80,4.40,5.80,2.80,0.50,2.20,0.48,0.40,0.71,100.00,Conf Semis
Baron Davis CHA 2002,Baron Davis,,Baron Davis,2002,CHA,9,401,203,71,188,0.378,21,62,0.339,40,67,0.597,16,47,63,71,32,5,27,36,,22.56,7.00,7.89,3.56,0.56,3.00,0.38,0.34,0.60,100.00,Conf Semis
Baron Davis NOP 2003,Baron Davis,,Baron Davis,2003,NOP,5,194,102,37,83,0.446,12,35,0.343,16,22,0.727,4,14,18,42,7,2,15,20,,20.40,3.60,8.40,1.40,0.40,3.00,0.45,0.34,0.73,10.00,First Round
Baron Davis NOP 2004,Baron Davis,,Baron Davis,2004,NOP,7,260,127,43,114,0.377,16,49,0.327,25,33,0.758,6,23,29,49,11,5,19,21,,18.14,4.14,7.00,1.57,0.71,2.71,0.38,0.33,0.76,10.00,First Round
Baron Davis GSW 2007,Baron Davis,,Baron Davis,2007,GSW,11,444.7,278,98,191,0.513,25,67,0.373,57,74,0.77,11,39,50,72,32,7,32,46,,25.27,4.55,6.55,2.91,0.64,2.91,0.51,0.37,0.77,100.00,Conf Semis
Baron Davis NYK 2012,Baron Davis,,Baron Davis,2012,NYK,4,97.4,31,11,23,0.478,4,14,0.286,5,5,1,0,3,3,13,0,0,13,15,,7.75,0.75,3.25,0.00,0.00,3.25,0.48,0.29,1.00,10.00,First Round
Barry Clemens CHI 1967,Barry Clemens,,Barry Clemens,1967,CHI,3,20,6,0,4,0,,,,6,7,0.857,,,3,2,,,,3,,2.00,1.00,0.67,0.00,0.00,0.00,0.00,0.00,0.86,100.00,Conf Semis
Barry Clemens CHI 1968,Barry Clemens,,Barry Clemens,1968,CHI,4,45,20,8,16,0.5,,,,4,4,1,,,2,5,,,,6,,5.00,0.50,1.25,0.00,0.00,0.00,0.50,0.00,1.00,100.00,Conf Semis
Barry Nelson MIL 1972,Barry Nelson,,Barry Nelson,1972,MIL,2,5,0,0,0,0,,,,0,0,0,,,1,1,,,,1,,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00",Conf Finalist
Barry Orms WAS 1969,Barry Orms,,Barry Orms,1969,WAS,3,10,0,0,0,0,,,,0,0,0,,,1,0,,,,2,,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,Conf Semis
Bart Kofoed UTA 1988,Bart Kofoed,,Bart Kofoed,1988,UTA,10,109,21,9,23,0.391,1,5,0.2,2,2,1,3,11,14,11,1,0,9,18,,2.10,1.40,1.10,0.10,0.00,0.90,0.39,0.20,1.00,100.00,Conf Semis
Bayard Forrest PHX 1978,Bayard Forrest,,Bayard Forrest,1978,PHX,1,3,2,1,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00,First Round
Bayard Forrest PHX 1979,Bayard Forrest,,Bayard Forrest,1979,PHX,14,110,22,10,18,0.556,,,,2,10,0.2,9,20,29,11,4,2,10,21,,1.57,2.07,0.79,0.29,0.14,0.71,0.56,0.00,0.20,"1,000.00",Conf Finalist
Belus Smawley STB 1947,Belus Smawley,,Belus Smawley,1947,STB,3,0,52,23,71,0.324,,,,6,11,0.545,,,0,1,,,,12,,17.33,0.00,0.33,0.00,0.00,0.00,0.32,0.00,0.55,100.00,Conf Semis
Belus Smawley STB 1948,Belus Smawley,,Belus Smawley,1948,STB,6,0,66,26,86,0.302,,,,14,18,0.778,,,0,2,,,,15,,11.00,0.00,0.33,0.00,0.00,0.00,0.30,0.00,0.78,"1,000.00",Conf Finalist
Belus Smawley STB 1949,Belus Smawley,,Belus Smawley,1949,STB,2,0,10,5,12,0.417,,,,0,0,0,,,0,0,,,,4,,5.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,100.00,Conf Semis
