CODE,RG CODE,NB CODE,PLAYER,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,,PTS / G,REB / G,AST / G,STL / G,BLK / G,TOV / G,FG%,3P%,FT%,,RESULT
Aaron Gordon DEN 2021,Aaron Gordon,Aaron Gordon,Aaron Gordon,2021,DEN,10,298.7,111,43,99,0.434,9,23,0.391,16,25,0.64,21,33,54,20,5,3,14,23,,11.10,5.40,2.00,0.50,0.30,1.40,0.43,0.39,0.64,100.00,Conf Semis
Aaron Gordon DEN 2022,Aaron Gordon,Aaron Gordon,Aaron Gordon,2022,DEN,5,160.1,69,23,54,0.426,3,15,0.2,20,28,0.714,18,18,36,13,2,6,8,14,,13.80,7.20,2.60,0.40,1.20,1.60,0.43,0.20,0.71,10.00,First Round
Aaron Gordon DEN 2023,Aaron Gordon,Aaron Gordon,Aaron Gordon,2023,DEN,20,712.7,265,101,195,0.518,18,46,0.391,45,69,0.652,49,71,120,52,11,13,20,58,,13.25,6.00,2.60,0.55,0.65,1.00,0.52,0.39,0.65,"100,000.00",Champion
Aaron Gordon DEN 2024,Aaron Gordon,Aaron Gordon,Aaron Gordon,2024,DEN,12,444.8,172,69,118,58.5,11,27,40.7,23,28,82.1,36,51,87,53,10,7,18,28,,14.33,7.25,4.42,0.83,0.58,1.50,0.58,0.41,0.82,100.00,Conf Semis
Aaron Gray CHI 2009,Aaron Gray,,Aaron Gray,2009,CHI,2,9.2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0.00,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,10.00,First Round
Aaron Gray NOP 2011,Aaron Gray,,Aaron Gray,2011,NOP,6,86.9,21,9,13,0.692,0,0,0,3,8,0.375,3,18,21,2,2,2,5,13,,3.50,3.50,0.33,0.33,0.33,0.83,0.69,0.00,0.38,10.00,First Round
Aaron Harrison CHA 2016,Aaron Harrison,,Aaron Harrison,2016,CHA,2,7.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,First Round
Aaron Holiday IND 2019,Aaron Holiday,Aaron Holiday,Aaron Holiday,2019,IND,3,13.5,5,2,5,0.4,1,2,0.5,0,0,0,0,0,0,0,0,0,1,3,,1.67,0.00,0.00,0.00,0.00,0.33,0.40,0.50,0.00,10.00,First Round
Aaron Holiday IND 2020,Aaron Holiday,Aaron Holiday,Aaron Holiday,2020,IND,4,71.9,31,12,21,0.571,4,9,0.444,3,5,0.6,1,4,5,10,4,0,4,10,,7.75,1.25,2.50,1.00,0.00,1.00,0.57,0.44,0.60,10.00,First Round
Aaron Holiday PHX 2022,Aaron Holiday,Aaron Holiday,Aaron Holiday,2022,PHX,6,19.7,21,8,14,0.571,5,7,0.714,0,1,0,3,0,3,9,3,1,0,1,,3.50,0.50,1.50,0.50,0.17,0.00,0.57,0.71,0.00,100.00,Conf Semis
Aaron Holiday ATL 2023,Aaron Holiday,Aaron Holiday,Aaron Holiday,2023,ATL,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,10.00,First Round
Aaron Jackson HOU 2018,Aaron Jackson,,Aaron Jackson,2018,HOU,7,17.1,5,2,4,0.5,0,2,0,1,2,0.5,2,2,4,2,0,0,2,2,,0.71,0.57,0.29,0.00,0.00,0.29,0.50,0.00,0.50,"1,000.00",Conf Finalist
Aaron McKie POR 1995,Aaron McKie,,Aaron McKie,1995,POR,3,34,17,8,14,0.571,1,2,0.5,0,0,0,0,2,2,1,3,0,0,4,,5.67,0.67,0.33,1.00,0.00,0.00,0.57,0.50,0.00,10.00,First Round
Aaron McKie POR 1996,Aaron McKie,,Aaron McKie,1996,POR,5,134,31,11,30,0.367,2,8,0.25,7,9,0.778,4,14,18,9,6,2,9,13,,6.20,3.60,1.80,1.20,0.40,1.80,0.37,0.25,0.78,10.00,First Round
Aaron McKie DET 1997,Aaron McKie,,Aaron McKie,1997,DET,5,97,15,7,20,0.35,1,5,0.2,0,0,0,1,9,10,10,6,2,3,12,,3.00,2.00,2.00,1.20,0.40,0.60,0.35,0.20,0.00,10.00,First Round
Aaron McKie PHI 1999,Aaron McKie,,Aaron McKie,1999,PHI,6,97,20,7,23,0.304,0,1,0,6,7,0.857,4,11,15,11,4,0,1,17,,3.33,2.50,1.83,0.67,0.00,0.17,0.30,0.00,0.86,100.00,Conf Semis
Aaron McKie PHI 2000,Aaron McKie,,Aaron McKie,2000,PHI,10,331,138,50,103,0.485,12,35,0.343,26,31,0.839,4,32,36,46,4,2,16,26,,13.80,3.60,4.60,0.40,0.20,1.60,0.49,0.34,0.84,100.00,Conf Semis
Aaron McKie PHI 2001,Aaron McKie,,Aaron McKie,2001,PHI,23,892,336,125,301,0.415,27,64,0.422,59,75,0.787,24,95,119,121,34,3,46,67,,14.61,5.17,5.26,1.48,0.13,2.00,0.42,0.42,0.79,"10,000.00",Finalist
Aaron McKie PHI 2002,Aaron McKie,,Aaron McKie,2002,PHI,5,146,53,20,46,0.435,6,16,0.375,7,10,0.7,2,16,18,12,10,0,10,12,,10.60,3.60,2.40,2.00,0.00,2.00,0.43,0.38,0.70,10.00,First Round
Aaron McKie PHI 2003,Aaron McKie,,Aaron McKie,2003,PHI,12,315,93,38,71,0.535,5,9,0.556,12,14,0.857,5,38,43,22,10,2,15,31,,7.75,3.58,1.83,0.83,0.17,1.25,0.54,0.56,0.86,100.00,Conf Semis
Aaron McKie PHI 2005,Aaron McKie,,Aaron McKie,2005,PHI,5,83,7,3,7,0.429,1,3,0.333,0,0,0,1,11,12,5,4,0,1,9,,1.40,2.40,1.00,0.80,0.00,0.20,0.43,0.33,0.00,10.00,First Round
Aaron McKie LAL 2006,Aaron McKie,,Aaron McKie,2006,LAL,1,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,First Round
Aaron Nesmith BOS 2021,Aaron Nesmith,Aaron Nesmith,Aaron Nesmith,2021,BOS,5,74.9,16,5,18,0.278,4,14,0.286,2,2,1,2,11,13,1,1,1,2,7,,3.20,2.60,0.20,0.20,0.20,0.40,0.28,0.29,1.00,10.00,First Round
Aaron Nesmith BOS 2022,Aaron Nesmith,Aaron Nesmith,Aaron Nesmith,2022,BOS,14,51.6,12,4,17,0.235,1,11,0.091,3,4,0.75,4,11,15,3,2,4,1,6,,0.86,1.07,0.21,0.14,0.29,0.07,0.24,0.09,0.75,"10,000.00",Finalist
Aaron Nesmith IND 2024,Aaron Nesmith,Aaron Nesmith,Aaron Nesmith,2024,IND,17,559.4,178,61,141,43.3,22,79,27.8,34,37,91.9,19,65,84,37,11,9,23,66,,10.47,4.94,2.18,0.65,0.53,1.35,0.43,0.28,0.92,"1,000.00",Conf Finalist
Aaron Wiggins OKC 2024,Aaron Wiggins,Aaron Wiggins,Aaron Wiggins,2024,OKC,10,156.9,62,23,47,48.9,6,20,30,10,11,90.9,9,23,32,10,6,3,9,8,,6.20,3.20,1.00,0.60,0.30,0.90,0.49,0.30,0.91,100.00,Conf Semis
Aaron Williams OKC 1998,Aaron Williams,,Aaron Williams,1998,OKC,3,7,2,0,3,0,0,0,0,2,2,1,1,0,1,0,0,1,1,0,,0.67,0.33,0.00,0.00,0.33,0.33,0.00,0.00,1.00,100.00,Conf Semis
