NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Dikembe Mutombo,9,12,42.86%,,Dexter Pittman,2,0,100.00%,,LeBron James,55,41,14,74.55%
Chet Walker,7,12,36.84%,,Keita Bates-Diop,2,0,100.00%,,Luke Walton,19,14,5,73.68%
T.R. Dunn,7,12,36.84%,,Ben Swain,2,0,100.00%,,Andrew Bogut,15,11,4,73.33%
Ricky Pierce,8,12,40.00%,,Fennis Dembo,2,0,100.00%,,Bill Cartwright,26,19,7,73.08%
Stacey Augmon,7,12,36.84%,,Mel McGaha,1,0,100.00%,,Danny Ainge,37,27,10,72.97%
Steve Smith,11,12,47.83%,,Larry Hennessy,1,0,100.00%,,Tim Duncan,48,35,13,72.92%
Danny Schayes,6,12,33.33%,,Dennis Hamilton,2,0,100.00%,,Manu Ginobili,40,29,11,72.50%
Chris Dudley,6,12,33.33%,,Rich Johnson,2,0,100.00%,,JaVale McGee,18,13,5,72.22%
Paul Silas,19,11,63.33%,,Butch Lee,1,0,100.00%,,Shandon Anderson,18,13,5,72.22%
Andre Miller,2,11,15.38%,,Byron Irvin,2,0,100.00%,,Bruce Bowen,25,18,7,72.00%
Andre Iguodala,24,11,68.57%,,Nate Johnston,2,0,100.00%,,John Paxson,25,18,7,72.00%
Wilt Chamberlain,18,11,62.07%,,Mark Randall,1,0,100.00%,,Larry Bird,32,23,9,71.88%
Jeff Hornacek,17,11,60.71%,,Kevin Brooks,1,0,100.00%,,A.C. Green,32,23,9,71.88%
Antoine Carr,11,11,50.00%,,Ivano Newbill,1,0,100.00%,,Tony Parker,42,30,12,71.43%
Bill Bridges,11,11,50.00%,,Jordan McRae,2,0,100.00%,,Dennis Johnson,35,25,10,71.43%
Kevin Johnson,11,11,50.00%,,Wayne Simien,2,0,100.00%,,Toni Kukoc,21,15,6,71.43%
Jae Crowder,10,11,47.62%,,Darnell Jackson,2,0,100.00%,,Kyrie Irving,21,15,6,71.43%
Paul George,8,11,42.11%,,Adam Morrison,1,0,100.00%,,Shaquille O'Neal,45,32,13,71.11%
Manu Ginobili,29,11,72.50%,,Christian Eyenga,1,0,100.00%,,Udonis Haslem,31,22,9,70.97%
Jerry West,17,11,60.71%,,Briante Weber,1,0,100.00%,,Jaylen Brown,24,17,7,70.83%
Dwight Howard,13,11,54.17%,,Jeff Withey,1,0,100.00%,,Earl Cureton,17,12,5,70.59%
Red Kerr,7,11,38.89%,,Zhou Qi,1,0,100.00%,,M.L. Carr,17,12,5,70.59%
Marcus Camby,6,11,35.29%,,Axel Toupane,2,0,100.00%,,Iman Shumpert,17,12,5,70.59%
Derek Fisher,40,11,78.43%,,Mo Bamba,1,0,100.00%,,Kendrick Perkins,27,19,8,70.37%
Kevin Durant,22,11,66.67%,,Dan Swartz,1,0,100.00%,,Brian Shaw,27,19,8,70.37%
Richard Jefferson,18,11,62.07%,,Gary Bradds,1,0,100.00%,,Ray Allen,30,21,9,70.00%
Elgin Baylor,15,11,57.69%,,Tommy Kron,1,0,100.00%,,Cedric Maxwell,20,14,6,70.00%
Elden Campbell,15,11,57.69%,,Ronnie Watts,1,0,100.00%,,Scott Wedman,20,14,6,70.00%
Moses Malone,10,11,47.62%,,Jay Carty,1,0,100.00%,,Anthony Johnson,20,14,6,70.00%
Sidney Moncrief,8,11,42.11%,,Cliff Anderson,1,0,100.00%,,Kevin McHale,33,23,10,69.70%
Sedale Threatt,7,11,38.89%,,Skip Harlicka,1,0,100.00%,,Ben Wallace,23,16,7,69.57%
Chauncey Billups,17,11,60.71%,,Travis Grant,1,0,100.00%,,Jamaal Wilkes,23,16,7,69.57%
Bryon Russell,13,11,54.17%,,Steve Downing,1,0,100.00%,,Isiah Thomas,23,16,7,69.57%
Wes Unseld,11,11,50.00%,,Marshall Rogers,1,0,100.00%,,Bill Laimbeer,23,16,7,69.57%
Kenyon Martin,11,11,50.00%,,Rick Wilson,1,0,100.00%,,Sam Cassell,26,18,8,69.23%
Kurt Thomas,10,11,47.62%,,Billy Thompson,1,0,100.00%,,James Edwards,26,18,8,69.23%
Vince Carter,6,11,35.29%,,Kevin Lynch,1,0,100.00%,,Vinnie Johnson,26,18,8,69.23%
Rod Strickland,2,11,15.38%,,Bernard Robinson,1,0,100.00%,,Dwyane Wade,32,22,10,68.75%
Mark West,13,11,54.17%,,Coby Karl,1,0,100.00%,,Danny Green,32,22,10,68.75%
Alton Lister,9,11,45.00%,,Chinanu Onuaku,1,0,100.00%,,Dave Cowens,16,11,5,68.75%
Tyrone Corbin,8,11,42.11%,,Tyler Cook,1,0,100.00%,,Tom Henderson,16,11,5,68.75%
Eddie Jones,7,11,38.89%,,Paul Watson,1,0,100.00%,,Andre Iguodala,35,24,11,68.57%
Larry Foust,7,11,38.89%,,Vincent Poirier,1,0,100.00%,,Bob Dandridge,19,13,6,68.42%
Andy Phillip,7,11,38.89%,,Larry Siegfried,14,1,93.33%,,Lamar Odom,19,13,6,68.42%
Julius Erving,18,10,64.29%,,Pep Saul,12,1,92.31%,,Malik Rose,19,13,6,68.42%
PJ Brown,10,10,50.00%,,Quinn Cook,10,1,90.91%,,Jayson Tatum,22,15,7,68.18%
Nicolas Batum,3,10,23.08%,,Bill Russell,27,3,90.00%,,David West,22,15,7,68.18%
Danny Ainge,27,10,72.97%,,K.C. Jones,18,2,90.00%,,Leandro Barbosa,22,15,7,68.18%
Dwyane Wade,22,10,68.75%,,Jim Pollard,18,2,90.00%,,Rajon Rondo,25,17,8,68.00%
Danny Green,22,10,68.75%,,James Michael McAdoo,9,1,90.00%,,Tayshaun Prince,25,17,8,68.00%
Tom Hawkins,9,10,47.37%,,Tommy Heinsohn,17,2,89.47%,,Kawhi Leonard,28,19,9,67.86%
Shawn Kemp,7,10,41.18%,,George Mikan,17,2,89.47%,,Robert Parish,37,25,12,67.57%
Amare Stoudemire,6,10,37.50%,,Sam Jones,25,3,89.29%,,Kevin Durant,33,22,11,66.67%
Louis Williams,5,10,33.33%,,Arnie Ferrin,8,1,88.89%,,JR Smith,30,20,10,66.67%
Archie Clark,4,10,28.57%,,Don Carlson,8,1,88.89%,,Mario Elie,24,16,8,66.67%
Scottie Pippen,33,10,76.74%,,Stacey King,14,2,87.50%,,Bob Cousy,24,16,8,66.67%
Dennis Johnson,25,10,71.43%,,Jim Holstein,7,1,87.50%,,Richard Hamilton,24,16,8,66.67%
Kevin McHale,23,10,69.70%,,Jordan Bell,7,1,87.50%,,Tristan Thompson,24,16,8,66.67%
Serge Ibaka,19,10,65.52%,,Willie Naulls,7,1,87.50%,,Rashard Lewis,21,14,7,66.67%
Lindsey Hunter,19,10,65.52%,,Mike Smrek,7,1,87.50%,,Mark Aguirre,21,14,7,66.67%
JR Smith,20,10,66.67%,,Jason Caffey,6,1,85.71%,,Matt Bonner,21,14,7,66.67%
David Robinson,17,10,62.96%,,Franklin Edwards,6,1,85.71%,,Brent Barry,18,12,6,66.67%
Tom Chambers,12,10,54.55%,,Satch Sanders,22,4,84.62%,,Clint Richardson,18,12,6,66.67%
Kevin Willis,11,10,52.38%,,Bill Walton,11,2,84.62%,,Bill Sharman,18,12,6,66.67%
Hidayet Turkoglu,11,10,52.38%,,Mark Madsen,11,2,84.62%,,Mel Counts,18,12,6,66.67%
Derek Harper,10,10,50.00%,,Didier Ilunga-Mbenga,11,2,84.62%,,Bill Wennington,18,12,6,66.67%
Predrag Stojakovic,10,10,50.00%,,Frank Ramsey,16,3,84.21%,,Andrew Toney,15,10,5,66.67%
Rik Smits,11,10,52.38%,,Shaun Livingston,20,4,83.33%,,Derrick White,15,10,5,66.67%
Mike Bibby,9,10,47.37%,,Mitch Kupchak,15,3,83.33%,,Henry Bibby,15,10,5,66.67%
Jeff Green,11,10,52.38%,,Jim Loscutoff,10,2,83.33%,,Serge Ibaka,29,19,10,65.52%
Anthony Mason,9,10,47.37%,,Jordan Poole,5,1,83.33%,,Lindsey Hunter,29,19,10,65.52%
Craig Ehlo,8,10,44.44%,,Speedy Claxton,5,1,83.33%,,Joe Dumars,23,15,8,65.22%
Dominique Wilkins,3,10,23.08%,,Stephen Howard,5,1,83.33%,,PJ Tucker,20,13,7,65.00%
Anthony Peeler,3,10,23.08%,,Aaron Wiggins,5,1,83.33%,,Bob McAdoo,20,13,7,65.00%
