NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Steve Mix,14,8,63.64%,,Perry Jones,3,1,75.00%,,Jeff Green,21,11,10,52.38%
Marc Gasol,9,8,52.94%,,Mamadi Diakite,3,1,75.00%,,Jack Sikma,21,11,10,52.38%
Clint Capela,8,8,50.00%,,Swen Nater,3,1,75.00%,,Nate McMillan,21,11,10,52.38%
Paul Seymour,10,8,55.56%,,Conner Henry,3,1,75.00%,,Wayne Cooper,21,11,10,52.38%
Chris Mullin,9,8,52.94%,,Neemias Queta,3,1,75.00%,,Caldwell Jones,25,13,12,52.00%
Allen Leavell,7,8,46.67%,,Jordan Walsh,3,1,75.00%,,Rick Mahorn,25,13,12,52.00%
Giannis Antetokounmpo,8,8,50.00%,,Justin Jackson,3,1,75.00%,,George Hill,27,14,13,51.85%
Carlos Boozer,7,8,46.67%,,Jerry Rullo,3,1,75.00%,,Gary Payton,29,15,14,51.72%
Hersey Hawkins,8,8,50.00%,,Paul Hoffman,3,1,75.00%,,Jerome Kersey,29,15,14,51.72%
Wali Jones,6,8,42.86%,,Anthony Avent,3,1,75.00%,,Karl Malone,38,19,19,50.00%
Tyson Chandler,7,8,46.67%,,Bill Hosket,3,1,75.00%,,Jason Kidd,32,16,16,50.00%
Happy Hairston,7,8,46.67%,,Ante Zizic,3,1,75.00%,,Kyle Korver,28,14,14,50.00%
David Wingate,7,8,46.67%,,Evan Eschmeyer,3,1,75.00%,,Kevin Garnett,26,13,13,50.00%
Joakim Noah,5,8,38.46%,,Austin Daye,3,1,75.00%,,Dan Majerle,26,13,13,50.00%
Frank Johnson,5,8,38.46%,,Bernard Toone,3,1,75.00%,,Jimmy Butler,24,12,12,50.00%
Jamal Crawford,4,8,33.33%,,Jim Spanarkel,3,1,75.00%,,Antoine Carr,22,11,11,50.00%
Austin Rivers,4,8,33.33%,,Lazar Hayward,3,1,75.00%,,Bill Bridges,22,11,11,50.00%
Darrell Armstrong,4,8,33.33%,,Kedrick Brown,3,1,75.00%,,Kevin Johnson,22,11,11,50.00%
Jeff Malone,3,8,27.27%,,LeBron James,41,14,74.55%,,Wes Unseld,22,11,11,50.00%
Raymond Felton,1,8,11.11%,,Luke Walton,14,5,73.68%,,Kenyon Martin,22,11,11,50.00%
Jim Washington,1,8,11.11%,,Andrew Bogut,11,4,73.33%,,PJ Brown,20,10,10,50.00%
Magic Johnson,32,8,80.00%,,Bill Cartwright,19,7,73.08%,,Derek Harper,20,10,10,50.00%
Rajon Rondo,17,8,68.00%,,Danny Ainge,27,10,72.97%,,Predrag Stojakovic,20,10,10,50.00%
Bob Cousy,16,8,66.67%,,Tim Duncan,35,13,72.92%,,Alonzo Mourning,20,10,10,50.00%
Paul Westphal,13,8,61.90%,,Sam Hauser,8,3,72.73%,,Jeff Mullins,18,9,9,50.00%
Joe Dumars,15,8,65.22%,,Samaki Walker,8,3,72.73%,,Antonio Davis,18,9,9,50.00%
Greg Anthony,12,8,60.00%,,Mark Landsberger,8,3,72.73%,,Elvin Hayes,18,9,9,50.00%
Jacque Vaughn,12,8,60.00%,,Manu Ginobili,29,11,72.50%,,Pat Connaughton,18,9,9,50.00%
Antonio McDyess,10,8,55.56%,,JaVale McGee,13,5,72.22%,,Harry Gallatin,18,9,9,50.00%
Bailey Howell,9,8,52.94%,,Shandon Anderson,13,5,72.22%,,Robert Reid,18,9,9,50.00%
Maurice Lucas,10,8,55.56%,,Bruce Bowen,18,7,72.00%,,Jeff Teague,18,9,9,50.00%
Sean Elliott,11,8,57.89%,,John Paxson,18,7,72.00%,,Bob Pettit,16,8,8,50.00%
Clyde Lovellette,10,8,55.56%,,Larry Bird,23,9,71.88%,,Cliff Hagan,16,8,8,50.00%
Dahntay Jones,11,8,57.89%,,A.C. Green,23,9,71.88%,,Brook Lopez,16,8,8,50.00%
Matt Barnes,10,8,55.56%,,Tony Parker,30,12,71.43%,,Clint Capela,16,8,8,50.00%
Metta World Peace,9,8,52.94%,,Dennis Johnson,25,10,71.43%,,Giannis Antetokounmpo,16,8,8,50.00%
Arnie Risen,9,8,52.94%,,Toni Kukoc,15,6,71.43%,,Hersey Hawkins,16,8,8,50.00%
Scot Pollard,9,8,52.94%,,Kyrie Irving,15,6,71.43%,,Truck Robinson,16,8,8,50.00%
Larry Nance,6,8,42.86%,,John Johnson,10,4,71.43%,,James Harden,31,15,16,48.39%
George Lynch,6,8,42.86%,,Jo Jo White,10,4,71.43%,,Reggie Miller,29,14,15,48.28%
Allen Iverson,6,8,42.86%,,Payton Pritchard,10,4,71.43%,,Charles Oakley,29,14,15,48.28%
Mike Evans,5,8,38.46%,,Don Chaney,10,4,71.43%,,Dirk Nowitzki,27,13,14,48.15%
Josh Smith,5,8,38.46%,,Mehmet Okur,10,4,71.43%,,Russell Westbrook,25,12,13,48.00%
Kyle Anderson,6,8,42.86%,,Andrew Bynum,10,4,71.43%,,Charles Barkley,25,12,13,48.00%
Rickey Green,5,8,38.46%,,Gary Payton II,5,2,71.43%,,Patrick Mills,25,12,13,48.00%
Brandon Bass,5,8,38.46%,,Charles Dudley,5,2,71.43%,,Steve Nash,23,11,12,47.83%
Devin Harris,4,8,33.33%,,Dick Schulz,5,2,71.43%,,Jason Terry,23,11,12,47.83%
Tobias Harris,4,8,33.33%,,Luguentz Dort,5,2,71.43%,,Steve Smith,23,11,12,47.83%
Sidney Green,4,8,33.33%,,Brandon Rush,5,2,71.43%,,Jae Crowder,21,10,11,47.62%
Sam Cassell,18,8,69.23%,,Peyton Watson,5,2,71.43%,,Moses Malone,21,10,11,47.62%
Tayshaun Prince,17,8,68.00%,,Tim Perry,5,2,71.43%,,Kurt Thomas,21,10,11,47.62%
James Edwards,18,8,69.23%,,Andrew Nembhard,5,2,71.43%,,Tom Hawkins,19,9,10,47.37%
Richard Hamilton,16,8,66.67%,,Ben Sheppard,5,2,71.43%,,Mike Bibby,19,9,10,47.37%
Vinnie Johnson,18,8,69.23%,,Tyrese Haliburton,5,2,71.43%,,Anthony Mason,19,9,10,47.37%
Tristan Thompson,16,8,66.67%,,Kevin Stacom,5,2,71.43%,,Eddie Johnson,19,9,10,47.37%
Mike Miller,13,8,61.90%,,Nick Young,5,2,71.43%,,John Stockton,36,17,19,47.22%
Norman Powell,9,8,52.94%,,Clay Johnson,5,2,71.43%,,Oscar Robertson,17,8,9,47.06%
Alvin Scott,6,8,42.86%,,Butch Beard,5,2,71.43%,,Doc Rivers,17,8,9,47.06%
John Battle,6,8,42.86%,,William Bedford,5,2,71.43%,,Deron Williams,17,8,9,47.06%
Carl Braun,6,8,42.86%,,Omer Yurtseven,5,2,71.43%,,Rudy LaRusso,17,8,9,47.06%
Amir Johnson,5,8,38.46%,,Jaden Springer,5,2,71.43%,,Antonio Daniels,17,8,9,47.06%
Mookie Blaylock,4,8,33.33%,,Shaquille O'Neal,32,13,71.11%,,Rodney Rogers,17,8,9,47.06%
Bobby Jackson,4,8,33.33%,,Udonis Haslem,22,9,70.97%,,Alvan Adams,17,8,9,47.06%
Bob Weiss,4,8,33.33%,,Jaylen Brown,17,7,70.83%,,DeAndre Jordan,17,8,9,47.06%
Chuck Person,4,8,33.33%,,Earl Cureton,12,5,70.59%,,Paul Mokeski,17,8,9,47.06%
Gerald Wilkins,4,8,33.33%,,M.L. Carr,12,5,70.59%,,Austin Croshere,15,7,8,46.67%
JaMychal Green,4,8,33.33%,,Iman Shumpert,12,5,70.59%,,Allen Leavell,15,7,8,46.67%
George Yardley,4,8,33.33%,,Kendrick Perkins,19,8,70.37%,,Carlos Boozer,15,7,8,46.67%
Jerry Sloan,2,8,20.00%,,Brian Shaw,19,8,70.37%,,Tyson Chandler,15,7,8,46.67%
Brian Shaw,19,8,70.37%,,Ray Allen,21,9,70.00%,,Happy Hairston,15,7,8,46.67%
Shane Battier,13,8,61.90%,,Cedric Maxwell,14,6,70.00%,,David Wingate,15,7,8,46.67%
Herb Williams,11,8,57.89%,,Scott Wedman,14,6,70.00%,,Mark Jackson,26,12,14,46.15%
Truck Robinson,8,8,50.00%,,Anthony Johnson,14,6,70.00%,,Terry Cummings,24,11,13,45.83%
Anfernee Hardaway,6,8,42.86%,,Fabricio Oberto,7,3,70.00%,,Paul Millsap,24,11,13,45.83%
Fat Lever,5,8,38.46%,,Matthew Dellavedova,7,3,70.00%,,Clifford Robinson,31,14,17,45.16%
Mike Scott,5,8,38.46%,,Larry Wright,7,3,70.00%,,Alton Lister,20,9,11,45.00%
Fred Scolari,4,8,33.33%,,Todd MacCulloch,7,3,70.00%,,Chris Paul,27,12,15,44.44%
Mark Olberding,2,8,20.00%,,Lew Hitch,7,3,70.00%,,Craig Ehlo,18,8,10,44.44%
Danny Ferry,10,8,55.56%,,Carl Herrera,7,3,70.00%,,Dick McGuire,18,8,10,44.44%
Evan Turner,5,8,38.46%,,E'Twaun Moore,7,3,70.00%,,Walter Davis,18,8,10,44.44%
Jonas Valanciunas,4,8,33.33%,,Isaiah Joe,7,3,70.00%,,Vlade Divac,25,11,14,44.00%
Grant Hill,2,8,20.00%,,Kevin McHale,23,10,69.70%,,Buck Williams,25,11,14,44.00%
Mike Gminski,3,8,27.27%,,Ben Wallace,16,7,69.57%,,Rudy Gobert,16,7,9,43.75%
Jaylen Brown,17,7,70.83%,,Jamaal Wilkes,16,7,69.57%,,Ervin Johnson,16,7,9,43.75%
Jayson Tatum,15,7,68.18%,,Isiah Thomas,16,7,69.57%,,Tyrone Hill,16,7,9,43.75%
David West,15,7,68.18%,,Bill Laimbeer,16,7,69.57%,,Paul Pressey,16,7,9,43.75%
Rashard Lewis,14,7,66.67%,,Sam Cassell,18,8,69.23%,,Billy Paultz,16,7,9,43.75%
Marcin Gortat,9,7,56.25%,,James Edwards,18,8,69.23%,,Fred Roberts,16,7,9,43.75%
Jerry Lucas,7,7,50.00%,,Vinnie Johnson,18,8,69.23%,,Jon Barry,16,7,9,43.75%
Khris Middleton,8,7,53.33%,,Jamal Murray,9,4,69.23%,,Max Zaslofsky,16,7,9,43.75%
Mason Plumlee,5,7,41.67%,,Tiago Splitter,9,4,69.23%,,Dolph Schayes,23,10,13,43.48%
Vinny Del Negro,5,7,41.67%,,Kentavious Caldwell-Pope,9,4,69.23%,,Joe Johnson,23,10,13,43.48%
Lenny Wilkens,5,7,41.67%,,Michael Porter,9,4,69.23%,,JJ Redick,23,10,13,43.48%
Zelmo Beaty,5,7,41.67%,,Norm Nixon,9,4,69.23%,,Mike Conley,21,9,12,42.86%
Dan Issel,4,7,36.36%,,Luke Kornet,9,4,69.23%,,Dikembe Mutombo,21,9,12,42.86%
Erick Dampier,5,7,41.67%,,Dwyane Wade,22,10,68.75%,,Paul George,19,8,11,42.11%
Al Harrington,4,7,36.36%,,Danny Green,22,10,68.75%,,Sidney Moncrief,19,8,11,42.11%
Baron Davis,3,7,30.00%,,Dave Cowens,11,5,68.75%,,Tyrone Corbin,19,8,11,42.11%
Jeff Foster,3,7,30.00%,,Tom Henderson,11,5,68.75%,,Detlef Schrempf,24,10,14,41.67%
Danilo Gallinari,2,7,22.22%,,Andre Iguodala,24,11,68.57%,,Shawn Kemp,17,7,10,41.18%
Willie Green,1,7,12.50%,,Bob Dandridge,13,6,68.42%,,Dale Ellis,17,7,10,41.18%
Bruce Bowen,18,7,72.00%,,Lamar Odom,13,6,68.42%,,Chris Webber,17,7,10,41.18%
Ben Wallace,16,7,69.57%,,Malik Rose,13,6,68.42%,,Otis Thorpe,17,7,10,41.18%
Jamaal Wilkes,16,7,69.57%,,Jayson Tatum,15,7,68.18%,,Terry Porter,27,11,16,40.74%
Leandro Barbosa,15,7,68.18%,,David West,15,7,68.18%,,Nenê,20,8,12,40.00%
Isiah Thomas,16,7,69.57%,,Leandro Barbosa,15,7,68.18%,,Ricky Pierce,20,8,12,40.00%
Bill Laimbeer,16,7,69.57%,,Rajon Rondo,17,8,68.00%,,Mark Eaton,15,6,9,40.00%
Mark Aguirre,14,7,66.67%,,Tayshaun Prince,17,8,68.00%,,Nate Thurmond,15,6,9,40.00%
Nick Collison,11,7,61.11%,,Kawhi Leonard,19,9,67.86%,,Radoslav Nesterovic,15,6,9,40.00%
Fred Brown,10,7,58.82%,,Robert Parish,25,12,67.57%,,Bill Hanzlik,15,6,9,40.00%
Jrue Holiday,12,7,63.16%,,Kevin Durant,22,11,66.67%,,Mike Sanders,15,6,9,40.00%
Lionel Hollins,11,7,61.11%,,JR Smith,20,10,66.67%,,Tree Rollins,23,9,14,39.13%
Gail Goodrich,9,7,56.25%,,Mario Elie,16,8,66.67%,,Red Kerr,18,7,11,38.89%
Adam Keefe,10,7,58.82%,,Bob Cousy,16,8,66.67%,,Sedale Threatt,18,7,11,38.89%
Rolando Blackman,9,7,56.25%,,Richard Hamilton,16,8,66.67%,,Eddie Jones,18,7,11,38.89%
Jack Coleman,9,7,56.25%,,Tristan Thompson,16,8,66.67%,,Larry Foust,18,7,11,38.89%
Mike Riordan,8,7,53.33%,,Rashard Lewis,14,7,66.67%,,Andy Phillip,18,7,11,38.89%
Adrian Dantley,8,7,53.33%,,Mark Aguirre,14,7,66.67%,,Amare Stoudemire,16,6,10,37.50%
Nick Van Exel,8,7,53.33%,,Matt Bonner,14,7,66.67%,,Aaron McKie,16,6,10,37.50%
Kevin Duckworth,8,7,53.33%,,Brent Barry,12,6,66.67%,,Alex English,16,6,10,37.50%
Chris Morris,8,7,53.33%,,Clint Richardson,12,6,66.67%,,Dave Corzine,16,6,10,37.50%
Charlie Ward,9,7,56.25%,,Bill Sharman,12,6,66.67%,,Hal Greer,19,7,12,36.84%
Cazzie Russell,6,7,46.15%,,Mel Counts,12,6,66.67%,,Chet Walker,19,7,12,36.84%
Gar Heard,5,7,41.67%,,Bill Wennington,12,6,66.67%,,T.R. Dunn,19,7,12,36.84%
Bob Hansen,6,7,46.15%,,Andrew Toney,10,5,66.67%,,Stacey Augmon,19,7,12,36.84%
Alex Hannum,7,7,50.00%,,Derrick White,10,5,66.67%,,Marcus Camby,17,6,11,35.29%
Willie Anderson,6,7,46.15%,,Henry Bibby,10,5,66.67%,,Vince Carter,17,6,11,35.29%
Josh Howard,5,7,41.67%,,Harrison Barnes,8,4,66.67%,,Jermaine O'Neal,21,7,14,33.33%
Wally Szczerbiak,5,7,41.67%,,Mickael Pietrus,8,4,66.67%,,Danny Schayes,18,6,12,33.33%
Andrei Kirilenko,4,7,36.36%,,Rodney McCray,8,4,66.67%,,Chris Dudley,18,6,12,33.33%
Caron Butler,4,7,36.36%,,Rasual Butler,8,4,66.67%,,Louis Williams,15,5,10,33.33%
Joel Embiid,5,7,41.67%,,Aaron Williams,8,4,66.67%,,Joe Smith,15,5,10,33.33%
Clyde Lee,4,7,36.36%,,Aron Baynes,8,4,66.67%,,Kiki Vandeweghe,17,5,12,29.41%
Calvin Natt,4,7,36.36%,,Rick Robey,8,4,66.67%,,Carmelo Anthony,16,3,13,18.75%
Derrick Rose,4,7,36.36%,,James Posey,8,4,66.67%,,,,,,
Jamaal Magloire,4,7,36.36%,,Spencer Haywood,6,3,66.67%,,,,,,
Joe Ingles,3,7,30.00%,,Anthony Bonner,6,3,66.67%,,,,,,
Walt Bellamy,2,7,22.22%,,Travis Knight,6,3,66.67%,,,,,,
Sleepy Floyd,2,7,22.22%,,Rodney Hood,6,3,66.67%,,,,,,
Derrick Coleman,2,7,22.22%,,Kareem Rush,4,2,66.67%,,,,,,
Dan Roundfield,2,7,22.22%,,Mike James (1975),4,2,66.67%,,,,,,
Michael Jordan,30,7,81.08%,,Kyle Kuzma,4,2,66.67%,,,,,,
Bill Cartwright,19,7,73.08%,,George Kaftan,4,2,66.67%,,,,,,
John Paxson,18,7,72.00%,,Med Park,4,2,66.67%,,,,,,
Matt Bonner,14,7,66.67%,,Larry Steele,4,2,66.67%,,,,,,
PJ Tucker,13,7,65.00%,,Bob Gross,4,2,66.67%,,,,,,
Bob McAdoo,13,7,65.00%,,Steve Harris,4,2,66.67%,,,,,,
Reggie Jackson,11,7,61.11%,,Dick Cunningham,4,2,66.67%,,,,,,
Keith Erickson,9,7,56.25%,,Jevon Carter,4,2,66.67%,,,,,,
Mike Dunleavy Sr,9,7,56.25%,,Dick Garrett,4,2,66.67%,,,,,,
Cory Joseph,10,7,58.82%,,Nemanja Bjelica,4,2,66.67%,,,,,,
Connie Simmons,10,7,58.82%,,Nate Bowman,4,2,66.67%,,,,,,
Bam Adebayo,8,7,53.33%,,Angelo Musi,4,2,66.67%,,,,,,
Cameron Payne,9,7,56.25%,,Howie Dallmar,4,2,66.67%,,,,,,
Corliss Williamson,7,7,50.00%,,Dario Saric,4,2,66.67%,,,,,,
Phil Jackson,7,7,50.00%,,Thomas Bryant,4,2,66.67%,,,,,,
Clemon Johnson,8,7,53.33%,,Jonathon Simmons,4,2,66.67%,,,,,,
Marcus Morris,7,7,50.00%,,Tony Massenburg,4,2,66.67%,,,,,,
Nat Clifton,7,7,50.00%,,Reggie Johnson,4,2,66.67%,,,,,,
Jack Nichols,7,7,50.00%,,Tex Ritter,4,2,66.67%,,,,,,
Ed Macauley,6,7,46.15%,,Ira Newble,4,2,66.67%,,,,,,
Phil Chenier,5,7,41.67%,,Justin Holiday,4,2,66.67%,,,,,,
Cedric Ceballos,6,7,46.15%,,Luka Garza,4,2,66.67%,,,,,,
Eric Gordon,5,7,41.67%,,Tamar Slay,4,2,66.67%,,,,,,
Earl Lloyd,6,7,46.15%,,Bill Calhoun,4,2,66.67%,,,,,,
Al Attles,5,7,41.67%,,Leonard Miller,4,2,66.67%,,,,,,
Walt Hazzard,5,7,41.67%,,Win Wilfong,2,1,66.67%,,,,,,
Jon Koncak,5,7,41.67%,,Bill Hewitt,2,1,66.67%,,,,,,
Xavier McDaniel,4,7,36.36%,,Luther Rackley,2,1,66.67%,,,,,,
Michael Cage,4,7,36.36%,,Phil Lumpkin,2,1,66.67%,,,,,,
Tim Thomas,4,7,36.36%,,Ralph Lewis,2,1,66.67%,,,,,,
Marvin Williams,4,7,36.36%,,Jimmy Jones,2,1,66.67%,,,,,,
Darrall Imhoff,4,7,36.36%,,Nik Stauskas,2,1,66.67%,,,,,,
Arvydas Sabonis,4,7,36.36%,,Malik Fitts,2,1,66.67%,,,,,,
Don Ohl,3,7,30.00%,,Michael Olowokandi,2,1,66.67%,,,,,,
Mark Price,3,7,30.00%,,Trenton Hassell,2,1,66.67%,,,,,,
Ersan Ilyasova,4,7,36.36%,,Orlando Johnson,2,1,66.67%,,,,,,
Odie Spears,3,7,30.00%,,Shane Larkin,2,1,66.67%,,,,,,
Jack Marin,2,7,22.22%,,Wenyen Gabriel,2,1,66.67%,,,,,,
Walter Dukes,3,7,30.00%,,Terrence Shannon,2,1,66.67%,,,,,,
Jannero Pargo,2,7,22.22%,,Ed Peterson,2,1,66.67%,,,,,,
Royce O'Neale,2,7,22.22%,,Ray Corley,2,1,66.67%,,,,,,
Gene Shue,2,7,22.22%,,Steve Bracey,2,1,66.67%,,,,,,
Kevin Grevey,11,7,61.11%,,Matt Zunic,2,1,66.67%,,,,,,
Earl Monroe,9,7,56.25%,,Bill Melchionni,2,1,66.67%,,,,,,
Zaza Pachulia,10,7,58.82%,,Lorenzo Romar,2,1,66.67%,,,,,,
Leroy Ellis,7,7,50.00%,,Kenny Battle,2,1,66.67%,,,,,,
Trent Tucker,8,7,53.33%,,Gerald Paddio,2,1,66.67%,,,,,,
Doug Christie,6,7,46.15%,,Dee Brown (1984),2,1,66.67%,,,,,,
Paul Arizin,5,7,41.67%,,Renaldo Balkman,2,1,66.67%,,,,,,
Tony Delk,5,7,41.67%,,Aaron Jackson,2,1,66.67%,,,,,,
Goran Dragic,6,7,46.15%,,Tarik Black,2,1,66.67%,,,,,,
Theo Ratliff,5,7,41.67%,,DJ Wilson,2,1,66.67%,,,,,,
Jose Juan Barea,5,7,41.67%,,Jim Neal,2,1,66.67%,,,,,,
DeMar DeRozan,4,7,36.36%,,Dick Hemric,2,1,66.67%,,,,,,
Delon Wright,5,7,41.67%,,Charlie Paulk,2,1,66.67%,,,,,,
Kyle Macy,3,7,30.00%,,Derrick Williams,2,1,66.67%,,,,,,
Ed Conlin,3,7,30.00%,,Jacob Evans,2,1,66.67%,,,,,,
Richie Guerin,4,7,36.36%,,Rafael Araujo,2,1,66.67%,,,,,,
Terrell Brandon,3,7,30.00%,,Tarence Kinsey,2,1,66.67%,,,,,,
Bonzi Wells,3,7,30.00%,,Donald Sloan,2,1,66.67%,,,,,,
Vern Fleming,3,7,30.00%,,Yogi Ferrell,2,1,66.67%,,,,,,
Antawn Jamison,2,7,22.22%,,Daniel Oturu,2,1,66.67%,,,,,,
Steve Hawes,2,7,22.22%,,Jaylen Clark,2,1,66.67%,,,,,,
Tom McMillen,2,7,22.22%,,Jackie Moore,2,1,66.67%,,,,,,
Jason Williams,7,7,50.00%,,Ed Fleming,2,1,66.67%,,,,,,
George Johnson (1948),6,7,46.15%,,Steve Hamilton,2,1,66.67%,,,,,,
Damon Stoudamire,6,7,46.15%,,Gary Zeller,2,1,66.67%,,,,,,
Frankie Brian,5,7,41.67%,,George E. Johnson,2,1,66.67%,,,,,,
Myles Turner,5,7,41.67%,,Al Fleming,2,1,66.67%,,,,,,
John Crotty,4,7,36.36%,,Ed Stanczak,2,1,66.67%,,,,,,
Otis Birdsong,3,7,30.00%,,Charlie Black,2,1,66.67%,,,,,,
Grant Long,3,7,30.00%,,Jake Carter,2,1,66.67%,,,,,,
Meyers Leonard,3,7,30.00%,,John Hargis,2,1,66.67%,,,,,,
Gerald Wallace,3,7,30.00%,,Red Owens,2,1,66.67%,,,,,,
LaSalle Thompson,1,7,12.50%,,Richie Niemiera,2,1,66.67%,,,,,,
Randy Breuer,7,7,50.00%,,Milo Komenich,2,1,66.67%,,,,,,
Jay Humphries,3,7,30.00%,,Joe Meriweather,2,1,66.67%,,,,,,
Anthony Carter,3,7,30.00%,,Curtis Kitchen,2,1,66.67%,,,,,,
Darwin Cook,1,7,12.50%,,Ben Hansbrough,2,1,66.67%,,,,,,
John Havlicek,26,6,81.25%,,Kostas Papanikolaou,2,1,66.67%,,,,,,
Draymond Green,25,6,80.65%,,Nick Johnson,2,1,66.67%,,,,,,
Don Nelson,20,6,76.92%,,Jason Thompson,2,1,66.67%,,,,,,
Toni Kukoc,15,6,71.43%,,Max Christie,2,1,66.67%,,,,,,
Bob Dandridge,13,6,68.42%,,Isaiah Jackson,2,1,66.67%,,,,,,
Bill Bradley,11,6,64.71%,,Bob Fitzgerald,2,1,66.67%,,,,,,
Dave DeBusschere,11,6,64.71%,,Frank Gates,2,1,66.67%,,,,,,
Walt Frazier,11,6,64.71%,,Frankie Sanders,2,1,66.67%,,,,,,
Howard Eisley,11,6,64.71%,,Kenny Fields,2,1,66.67%,,,,,,
Glen Davis,11,6,64.71%,,Tony Wroten,2,1,66.67%,,,,,,
Raja Bell,8,6,57.14%,,Marquese Chriss,2,1,66.67%,,,,,,
Torrey Craig,9,6,60.00%,,Kendall Brown,2,1,66.67%,,,,,,
Larry Johnson (1969),8,6,57.14%,,Mike Lynn,2,1,66.67%,,,,,,
Chris Childs,8,6,57.14%,,Dennis DuVal,2,1,66.67%,,,,,,
Wayne Embry,6,6,50.00%,,David Rivers,2,1,66.67%,,,,,,
David Benoit,6,6,50.00%,,Nikoloz Tskitishvili,2,1,66.67%,,,,,,
Landry Shamet,6,6,50.00%,,Troy Murphy,2,1,66.67%,,,,,,
Jack McMahon,6,6,50.00%,,Langston Galloway,2,1,66.67%,,,,,,
Jon McGlocklin,6,6,50.00%,,Skal Labissiere,2,1,66.67%,,,,,,
Chris Ford,6,6,50.00%,,Tacko Fall,2,1,66.67%,,,,,,
Rafer Alston,5,6,45.45%,,Serge Ibaka,19,10,65.52%,,,,,,
Luol Deng,5,6,45.45%,,Lindsey Hunter,19,10,65.52%,,,,,,
Tony Snell,5,6,45.45%,,Joe Dumars,15,8,65.22%,,,,,,
Jamal Mashburn,5,6,45.45%,,PJ Tucker,13,7,65.00%,,,,,,
Georges Niang,4,6,40.00%,,Bob McAdoo,13,7,65.00%,,,,,,
Dave Gambee,4,6,40.00%,,Bill Bradley,11,6,64.71%,,,,,,
Junior Bridgeman,4,6,40.00%,,Dave DeBusschere,11,6,64.71%,,,,,,
Marques Johnson,4,6,40.00%,,Walt Frazier,11,6,64.71%,,,,,,
Kenny Anderson,4,6,40.00%,,Howard Eisley,11,6,64.71%,,,,,,
Matt Harpring,3,6,33.33%,,Glen Davis,11,6,64.71%,,,,,,
Ivica Zubac,3,6,33.33%,,Cliff Levingston,11,6,64.71%,,,,,,
Kenny Carr,3,6,33.33%,,Anderson Varejao,11,6,64.71%,,,,,,
Johnny Newman,3,6,33.33%,,Pascal Siakam,11,6,64.71%,,,,,,
Adrian Smith,2,6,25.00%,,Julius Erving,18,10,64.29%,,,,,,
Robin Lopez,2,6,25.00%,,Willis Reed,9,5,64.29%,,,,,,
Greg Buckner,2,6,25.00%,,Quinn Buckner,9,5,64.29%,,,,,,
Brian Winters,2,6,25.00%,,Aleksandar Pavlovic,9,5,64.29%,,,,,,
Ty Lawson,0,6,0.00%,,Bobby Jones,16,9,64.00%,,,,,,
Dennis Rodman,29,6,82.86%,,Mychal Thompson,16,9,64.00%,,,,,,
Stephen Curry,24,6,80.00%,,Steve Mix,14,8,63.64%,,,,,,
James Worthy,24,6,80.00%,,Grant Williams,7,4,63.64%,,,,,,
Cedric Maxwell,14,6,70.00%,,Ernie Vandeweghe,7,4,63.64%,,,,,,
Scott Wedman,14,6,70.00%,,Aaron Nesmith,7,4,63.64%,,,,,,
Lamar Odom,13,6,68.42%,,Hot Rod Hundley,7,4,63.64%,,,,,,
Brent Barry,12,6,66.67%,,Hubert Davis,7,4,63.64%,,,,,,
Cliff Levingston,11,6,64.71%,,Daniel Gibson,7,4,63.64%,,,,,,
Nikola Jokic,10,6,62.50%,,Jerry Sichting,7,4,63.64%,,,,,,
Clint Richardson,12,6,66.67%,,Kerry Kittles,7,4,63.64%,,,,,,
Greg Foster,10,6,62.50%,,Lucious Harris,7,4,63.64%,,,,,,
Anderson Varejao,11,6,64.71%,,Chuck Nevitt,7,4,63.64%,,,,,,
Zydrunas Ilgauskas,10,6,62.50%,,Paul Silas,19,11,63.33%,,,,,,
Marquis Daniels,9,6,60.00%,,Jrue Holiday,12,7,63.16%,,,,,,
Ian Mahinmi,9,6,60.00%,,David Robinson,17,10,62.96%,,,,,,
Chris Andersen,9,6,60.00%,,Michael Finley,15,9,62.50%,,,,,,
Jim McMillian,8,6,57.14%,,Nikola Jokic,10,6,62.50%,,,,,,
Greg Ballard,8,6,57.14%,,Greg Foster,10,6,62.50%,,,,,,
Matt Guokas,6,6,50.00%,,Zydrunas Ilgauskas,10,6,62.50%,,,,,,
Travis Best,7,6,53.85%,,Eddie House,10,6,62.50%,,,,,,
Damon Jones,7,6,53.85%,,Tony Campbell,10,6,62.50%,,,,,,
Vincent Askew,6,6,50.00%,,Art Williams,5,3,62.50%,,,,,,
Allan Houston,7,6,53.85%,,Caleb Martin,5,3,62.50%,,,,,,
Marreese Speights,6,6,50.00%,,Deandre Ayton,5,3,62.50%,,,,,,
Charlie Share,6,6,50.00%,,Wally Osterkorn,5,3,62.50%,,,,,,
Drew Gooden,6,6,50.00%,,John Gianelli,5,3,62.50%,,,,,,
Johnny Davis (1955),5,6,45.45%,,Shai Gilgeous-Alexander,5,3,62.50%,,,,,,
John Lucas,4,6,40.00%,,Paul Noel,5,3,62.50%,,,,,,
Jay Vincent,4,6,40.00%,,Tom Boswell,5,3,62.50%,,,,,,
Tim Hardaway Jr,4,6,40.00%,,Glenn Robinson,5,3,62.50%,,,,,,
Delonte West,5,6,45.45%,,Andrew Wiggins,5,3,62.50%,,,,,,
