PLAYER,YEAR,AWARD,RNK
Terrell Brandon,1996,MIP,3
Bison Dele,1996,MIP,5
Tracy Murray,1996,MIP,5
Elden Campbell,1996,MIP,7
Allan Houston,1996,MIP,8
Bobby Phills,1996,MIP,8
Chris Childs,1996,MIP,8
David Wesley,1996,MIP,8
Dennis Scott,1996,MIP,8
Shawn Bradley,1996,MIP,8
Greg Anthony,1996,MIP,14
Jayson Williams,1996,MIP,14
Juwan Howard,1996,MIP,14
Matt Geiger,1996,MIP,14
Vinny Del Negro,1996,MIP,14
Isaac Austin,1997,MIP,1
Doug Christie,1997,MIP,2
Rasheed Wallace,1997,MIP,3
Voshon Lenard,1997,MIP,4
Glen Rice,1997,MIP,5
Kendall Gill,1997,MIP,5
Lindsey Hunter,1997,MIP,7
Kevin Garnett,1997,MIP,8
LaPhonso Ellis,1997,MIP,9
Tom Gugliotta,1997,MIP,9
David Wesley,1997,MIP,11
Eddie Jones,1997,MIP,12
Monty Williams,1997,MIP,12
Rony Seikaly,1997,MIP,12
Tim Hardaway,1997,MIP,12
Alan Henderson,1998,MIP,1
Corliss Williamson,1998,MIP,2
Donyell Marshall,1998,MIP,3
Michael Finley,1998,MIP,4
Nick Anderson,1998,MIP,4
Theo Ratliff,1998,MIP,6
Kobe Bryant,1998,MIP,7
Antoine Walker,1998,MIP,8
Bo Outlaw,1998,MIP,8
John Wallace,1998,MIP,8
Lamond Murray,1998,MIP,8
Vin Baker,1998,MIP,8
Jalen Rose,1998,MIP,13
Karl Malone,1998,MIP,13
Matt Geiger,1998,MIP,13
Rod Strickland,1998,MIP,13
Darrell Armstrong,1999,MIP,1
Eric Snow,1999,MIP,2
Gary Trent,1999,MIP,3
Joe Smith,1999,MIP,4
Danny Fortson,1999,MIP,5
Theo Ratliff,1999,MIP,6
Maurice Taylor,1999,MIP,7
Brian Grant,1999,MIP,8
Tracy McGrady,1999,MIP,8
Antonio McDyess,1999,MIP,10
Bryon Russell,1999,MIP,10
Clifford Robinson,1999,MIP,10
Dee Brown,1999,MIP,10
Greg Ostertag,1999,MIP,10
Haywoode Workman,1999,MIP,10
Latrell Sprewell,1999,MIP,10
Othella Harrington,1999,MIP,10
Randy Brown,1999,MIP,10
Tracy McGrady,2001,MIP,1
Predrag Stojakovic,2001,MIP,2
Steve Nash,2001,MIP,3
Shawn Marion,2001,MIP,4
Baron Davis,2001,MIP,5
Dirk Nowitzki,2001,MIP,5
Jason Terry,2001,MIP,7
Travis Best,2001,MIP,7
Alvin Williams,2001,MIP,9
Ben Wallace,2001,MIP,9
Bonzi Wells,2001,MIP,9
Donyell Marshall,2001,MIP,9
Jeff McInnis,2001,MIP,9
Richard Hamilton,2001,MIP,9
Jermaine O'Neal,2002,MIP,1
Ben Wallace,2002,MIP,2
Steve Nash,2002,MIP,3
Jerry Stackhouse,2002,MIP,4
Brent Barry,2002,MIP,5
Wally Szczerbiak,2002,MIP,6
Michael Olowokandi,2002,MIP,7
Troy Hudson,2002,MIP,7
Andre Miller,2002,MIP,9
Kenyon Martin,2002,MIP,9
Michael Redd,2002,MIP,9
Desmond Mason,2002,MIP,12
Gary Payton,2002,MIP,12
Hidayet Turkoglu,2002,MIP,12
Kenny Thomas,2002,MIP,12
Bobby Jackson,2002,MIP,16
Jason Terry,2002,MIP,16
Lee Nailon,2002,MIP,16
Ricky Davis,2002,MIP,16
Todd MacCulloch,2002,MIP,16
Wesley Person,2002,MIP,16
Gilbert Arenas,2003,MIP,1
Matt Harpring,2003,MIP,2
Troy Murphy,2003,MIP,3
Tony Parker,2003,MIP,4
Ricky Davis,2003,MIP,5
Chauncey Billups,2003,MIP,6
Jason Williams,2003,MIP,7
Richard Jefferson,2003,MIP,8
Troy Hudson,2003,MIP,9
Corey Maggette,2003,MIP,10
Bobby Jackson,2003,MIP,11
Michael Redd,2003,MIP,12
Metta World Peace,2003,MIP,13
Andrei Kirilenko,2003,MIP,14
Dirk Nowitzki,2003,MIP,14
Jermaine O'Neal,2003,MIP,14
Stephon Marbury,2003,MIP,14
Brad Miller,2003,MIP,18
Stephen Jackson,2003,MIP,18
Tracy McGrady,2003,MIP,18
Brent Barry,2003,MIP,21
Eric Snow,2003,MIP,21
Kevin Garnett,2003,MIP,21
Zydrunas Ilgauskas,2003,MIP,21
Earl Boykins,2003,MIP,25
Anfernee Hardaway,2003,MIP,26
Antawn Jamison,2003,MIP,26
Dion Glover,2003,MIP,26
Predrag Stojakovic,2003,MIP,26
Steve Nash,2003,MIP,26
Stromile Swift,2003,MIP,26
Zach Randolph,2004,MIP,1
Carlos Boozer,2004,MIP,2
James Posey,2004,MIP,3
Andrei Kirilenko,2004,MIP,4
Michael Redd,2004,MIP,5
Lamar Odom,2004,MIP,6
Jamaal Magloire,2004,MIP,7
Samuel Dalembert,2004,MIP,8
Joe Johnson,2004,MIP,9
Brian Cardinal,2004,MIP,10
Rafer Alston,2004,MIP,11
Mark Blount,2004,MIP,12
Carlos Arroyo,2004,MIP,13
Quentin Richardson,2004,MIP,13
Metta World Peace,2004,MIP,15
Ronald Murray,2004,MIP,15
Yao Ming,2004,MIP,15
Erick Dampier,2004,MIP,18
Richard Jefferson,2004,MIP,19
Corey Maggette,2004,MIP,20
Manu Ginobili,2004,MIP,20
Mike Dunleavy,2004,MIP,20
Tayshaun Prince,2004,MIP,23
Desmond Mason,2004,MIP,24
Jason Williams,2004,MIP,24
Kenny Thomas,2004,MIP,24
Marcus Camby,2004,MIP,24
Nenê,2004,MIP,24
Pau Gasol,2004,MIP,24
Raja Bell,2004,MIP,24
Stephen Jackson,2004,MIP,24
Bobby Simmons,2005,MIP,1
Dwyane Wade,2005,MIP,2
Tayshaun Prince,2005,MIP,3
Primoz Brezec,2005,MIP,4
Dan Dickau,2005,MIP,5
LeBron James,2005,MIP,6
Amare Stoudemire,2005,MIP,7
Joel Przybilla,2005,MIP,8
Larry Hughes,2005,MIP,8
Chris Bosh,2005,MIP,10
Grant Hill,2005,MIP,11
Udonis Haslem,2005,MIP,12
Damon Jones,2005,MIP,13
Luke Ridnour,2005,MIP,13
Gilbert Arenas,2005,MIP,15
Kirk Hinrich,2005,MIP,16
Kyle Korver,2005,MIP,17
Tyson Chandler,2005,MIP,18
Josh Howard,2005,MIP,19
Joe Johnson,2005,MIP,20
Vince Carter,2005,MIP,20
Dirk Nowitzki,2005,MIP,22
Eddy Curry,2005,MIP,22
Shaquille O'Neal,2005,MIP,22
Shawn Marion,2005,MIP,22
Brevin Knight,2005,MIP,26
Fred Jones,2005,MIP,26
Gerald Wallace,2005,MIP,26
Jason Richardson,2005,MIP,26
Reggie Evans,2005,MIP,26
Drew Gooden,2005,MIP,31
Anthony Johnson,2005,MIP,32
Mickael Pietrus,2005,MIP,32
Rashard Lewis,2005,MIP,32
Ricky Davis,2005,MIP,32
Tony Parker,2005,MIP,32
Boris Diaw,2006,MIP,1
David West,2006,MIP,2
Nenad Krstic,2006,MIP,3
Gerald Wallace,2006,MIP,4
Chris Bosh,2006,MIP,5
Andres Nocioni,2006,MIP,6
Tony Parker,2006,MIP,6
Mike James,2006,MIP,8
Carmelo Anthony,2006,MIP,9
Jameer Nelson,2006,MIP,10
Chris Kaman,2006,MIP,11
Yao Ming,2006,MIP,11
Elton Brand,2006,MIP,13
DeSagana Diop,2006,MIP,14
Smush Parker,2006,MIP,14
Mehmet Okur,2006,MIP,16
Pau Gasol,2006,MIP,16
Dwight Howard,2006,MIP,18
Caron Butler,2006,MIP,19
LeBron James,2006,MIP,19
Kevin Martin,2006,MIP,21
Zaza Pachulia,2006,MIP,21
Bobby Simmons,2006,MIP,23
Chris Wilcox,2006,MIP,23
Josh Smith,2006,MIP,23
Kobe Bryant,2006,MIP,23
Luol Deng,2006,MIP,23
Matt Harpring,2006,MIP,23
Maurice Williams,2006,MIP,23
Paul Pierce,2006,MIP,23
Raja Bell,2006,MIP,23
Monta Ellis,2007,MIP,1
Kevin Martin,2007,MIP,2
Deron Williams,2007,MIP,3
Tyson Chandler,2007,MIP,4
Andris Biedrins,2007,MIP,5
Al Jefferson,2007,MIP,6
Luol Deng,2007,MIP,7
Leandro Barbosa,2007,MIP,8
Andre Iguodala,2007,MIP,9
David Lee,2007,MIP,10
Jason Kapono,2007,MIP,11
Josh Howard,2007,MIP,12
Mikki Moore,2007,MIP,12
Carlos Boozer,2007,MIP,14
Jose Calderon,2007,MIP,15
Amare Stoudemire,2007,MIP,16
Bostjan Nachbar,2007,MIP,17
Eddy Curry,2007,MIP,17
Matt Carroll,2007,MIP,17
Caron Butler,2007,MIP,20
Andrew Bynum,2007,MIP,21
Ben Gordon,2007,MIP,21
Chris Wilcox,2007,MIP,21
Dwight Howard,2007,MIP,21
Gerald Wallace,2007,MIP,21
Josh Smith,2007,MIP,21
Luke Walton,2007,MIP,21
Nenê,2007,MIP,21
Predrag Stojakovic,2007,MIP,21
Hidayet Turkoglu,2008,MIP,1
Rudy Gay,2008,MIP,2
LaMarcus Aldridge,2008,MIP,3
Al Jefferson,2008,MIP,4
Rajon Rondo,2008,MIP,5
Mike Dunleavy,2008,MIP,6
Jose Calderon,2008,MIP,7
Chris Paul,2008,MIP,8
Beno Udrih,2008,MIP,9
David West,2008,MIP,10
Ronnie Brewer,2008,MIP,11
Andrew Bynum,2008,MIP,12
Chris Kaman,2008,MIP,13
Louis Williams,2008,MIP,14
Andrew Bogut,2008,MIP,15
Monta Ellis,2008,MIP,15
Rafer Alston,2008,MIP,17
Andre Iguodala,2008,MIP,18
LeBron James,2008,MIP,18
Travis Outlaw,2008,MIP,18
Brandon Bass,2008,MIP,21
Deron Williams,2008,MIP,21
Dwight Howard,2008,MIP,23
Jason Maxiell,2008,MIP,23
Linas Kleiza,2008,MIP,23
Shaquille O'Neal,2008,MIP,23
Tyson Chandler,2008,MIP,23
Brandon Roy,2008,MIP,28
Danny Granger,2008,MIP,28
JR Smith,2008,MIP,30
Roger Mason,2008,MIP,30
Danny Granger,2009,MIP,1
Devin Harris,2009,MIP,2
Kevin Durant,2009,MIP,3
Paul Millsap,2009,MIP,4
Nenê,2009,MIP,5
Rajon Rondo,2009,MIP,6
David Lee,2009,MIP,7
John Salmons,2009,MIP,8
Thaddeus Young,2009,MIP,9
Von Wafer,2009,MIP,10
Brandon Roy,2009,MIP,11
Chris Andersen,2009,MIP,12
JR Smith,2009,MIP,12
Glen Davis,2009,MIP,14
Jason Terry,2009,MIP,14
Wilson Chandler,2009,MIP,14
Aaron Brooks,2009,MIP,17
Jameer Nelson,2009,MIP,17
Dwyane Wade,2009,MIP,19
Kelenna Azubuike,2009,MIP,19
LaMarcus Aldridge,2009,MIP,19
Roger Mason,2009,MIP,19
Luis Scola,2009,MIP,23
Ronnie Brewer,2009,MIP,23
Andrea Bargnani,2009,MIP,25
Emeka Okafor,2009,MIP,25
Gerald Wallace,2009,MIP,25
Jeff Green,2009,MIP,25
Jose Juan Barea,2009,MIP,25
Kendrick Perkins,2009,MIP,25
Maurice Williams,2009,MIP,25
Mike Conley,2009,MIP,25
Rasual Butler,2009,MIP,25
Tyrus Thomas,2009,MIP,25
Aaron Brooks,2010,MIP,1
George Hill,2010,MIP,2
Kevin Durant,2010,MIP,2
Marc Gasol,2010,MIP,2
Andrew Bogut,2010,MIP,5
Russell Westbrook,2010,MIP,6
Joakim Noah,2010,MIP,7
Gerald Wallace,2010,MIP,8
Brook Lopez,2010,MIP,9
Corey Brewer,2010,MIP,9
Carl Landry,2010,MIP,11
Andray Blatche,2010,MIP,12
Rajon Rondo,2010,MIP,12
Channing Frye,2010,MIP,14
Danilo Gallinari,2010,MIP,14
Josh Smith,2010,MIP,16
David Lee,2010,MIP,17
Dwight Howard,2010,MIP,18
Chris Kaman,2010,MIP,19
Ersan Ilyasova,2010,MIP,19
JJ Redick,2010,MIP,19
Chris Douglas-Roberts,2010,MIP,22
Nenê,2010,MIP,22
Paul Millsap,2010,MIP,22
Robin Lopez,2010,MIP,25
Ben Wallace,2010,MIP,26
JJ Hickson,2010,MIP,26
John Salmons,2010,MIP,26
Monta Ellis,2010,MIP,26
Zach Randolph,2010,MIP,26
Kevin Love,2011,MIP,1
LaMarcus Aldridge,2011,MIP,2
Dorell Wright,2011,MIP,3
Derrick Rose,2011,MIP,4
Kris Humphries,2011,MIP,5
Kyle Lowry,2011,MIP,6
Russell Westbrook,2011,MIP,7
Wesley Matthews,2011,MIP,8
Jrue Holiday,2011,MIP,9
Mike Conley,2011,MIP,10
Arron Afflalo,2011,MIP,11
Roy Hibbert,2011,MIP,12
DeMar DeRozan,2011,MIP,13
Eric Gordon,2011,MIP,14
Nick Young,2011,MIP,14
Tyler Hansbrough,2011,MIP,14
Darrell Arthur,2011,MIP,17
DeAndre Jordan,2011,MIP,17
Serge Ibaka,2011,MIP,17
Thaddeus Young,2011,MIP,17
Amare Stoudemire,2011,MIP,21
DJ Augustin,2011,MIP,21
Luol Deng,2011,MIP,21
Elton Brand,2011,MIP,24
James Harden,2011,MIP,24
Jared Dudley,2011,MIP,24
Jodie Meeks,2011,MIP,24
Marcin Gortat,2011,MIP,24
Michael Beasley,2011,MIP,24
Tony Allen,2011,MIP,24
Tyson Chandler,2011,MIP,24
Ryan Anderson,2012,MIP,1
Ersan Ilyasova,2012,MIP,2
Nikola Pekovic,2012,MIP,3
Andrew Bynum,2012,MIP,4
Greg Monroe,2012,MIP,5
Jeremy Lin,2012,MIP,6
Goran Dragic,2012,MIP,7
Avery Bradley,2012,MIP,8
Danny Green,2012,MIP,9
Jeff Teague,2012,MIP,9
Serge Ibaka,2012,MIP,11
Ty Lawson,2012,MIP,11
Paul George,2012,MIP,13
Steve Novak,2012,MIP,14
DeMarcus Cousins,2012,MIP,15
Kevin Love,2012,MIP,16
James Harden,2012,MIP,17
Roy Hibbert,2012,MIP,17
Gerald Henderson,2012,MIP,19
Marcin Gortat,2012,MIP,19
Kyle Lowry,2012,MIP,21
Marc Gasol,2012,MIP,21
Gordon Hayward,2012,MIP,23
Arron Afflalo,2012,MIP,24
Brandan Wright,2012,MIP,24
CJ Watson,2012,MIP,24
Tony Parker,2012,MIP,24
Jarrett Jack,2012,MIP,28
Marreese Speights,2012,MIP,28
Paul George,2013,MIP,1
Greivis Vasquez,2013,MIP,2
Larry Sanders,2013,MIP,3
Nikola Vucevic,2013,MIP,4
Jrue Holiday,2013,MIP,5
Omer Asik,2013,MIP,6
James Harden,2013,MIP,7
Stephen Curry,2013,MIP,8
Serge Ibaka,2013,MIP,9
Chandler Parsons,2013,MIP,10
Kemba Walker,2013,MIP,11
JR Smith,2013,MIP,12
Klay Thompson,2013,MIP,12
Jimmy Butler,2013,MIP,14
Andray Blatche,2013,MIP,15
Carmelo Anthony,2013,MIP,15
Kawhi Leonard,2013,MIP,15
Mike Conley,2013,MIP,15
Ryan Anderson,2013,MIP,15
Kevin Durant,2013,MIP,20
Arron Afflalo,2013,MIP,21
Earl Clark,2013,MIP,21
Greg Monroe,2013,MIP,21
Joakim Noah,2013,MIP,21
Kenneth Faried,2013,MIP,21
Tristan Thompson,2013,MIP,26
Brook Lopez,2013,MIP,27
Jarrett Jack,2013,MIP,27
Jeff Teague,2013,MIP,27
Lance Stephenson,2013,MIP,27
Robin Lopez,2013,MIP,27
Tobias Harris,2013,MIP,27
Ty Lawson,2013,MIP,27
Goran Dragic,2014,MIP,1
Lance Stephenson,2014,MIP,2
Anthony Davis,2014,MIP,3
Gerald Green,2014,MIP,4
DeAndre Jordan,2014,MIP,5
Kyle Lowry,2014,MIP,6
Blake Griffin,2014,MIP,7
DeMar DeRozan,2014,MIP,8
Patrick Mills,2014,MIP,9
Isaiah Thomas,2014,MIP,10
Markieff Morris,2014,MIP,10
Shaun Livingston,2014,MIP,12
DJ Augustin,2014,MIP,13
Reggie Jackson,2014,MIP,14
Klay Thompson,2014,MIP,15
Robin Lopez,2014,MIP,15
DeMarcus Cousins,2014,MIP,17
Kevin Durant,2014,MIP,17
Al Jefferson,2014,MIP,19
Andre Drummond,2014,MIP,20
Bradley Beal,2014,MIP,20
Jodie Meeks,2014,MIP,20
LeBron James,2014,MIP,20
Mike Conley,2014,MIP,20
Taj Gibson,2014,MIP,20
Terrence Jones,2014,MIP,20
Alec Burks,2014,MIP,27
Chandler Parsons,2014,MIP,27
John Wall,2014,MIP,27
LaMarcus Aldridge,2014,MIP,27
Paul Millsap,2014,MIP,27
Jimmy Butler,2015,MIP,1
Draymond Green,2015,MIP,2
Rudy Gobert,2015,MIP,3
Hassan Whiteside,2015,MIP,4
Klay Thompson,2015,MIP,5
Anthony Davis,2015,MIP,6
Giannis Antetokounmpo,2015,MIP,7
Donatas Motiejunas,2015,MIP,8
Dennis Schroeder,2015,MIP,9
DeMarre Carroll,2015,MIP,10
Tyler Zeller,2015,MIP,10
DeMarcus Cousins,2015,MIP,12
Khris Middleton,2015,MIP,12
DeAndre Jordan,2015,MIP,14
Jae Crowder,2015,MIP,14
Kyrie Irving,2015,MIP,14
Victor Oladipo,2015,MIP,14
Kentavious Caldwell-Pope,2015,MIP,18
Nikola Vucevic,2015,MIP,18
Brandon Knight,2015,MIP,20
Derrick Favors,2015,MIP,20
Enes Kanter,2015,MIP,20
George Hill,2015,MIP,20
Gordon Hayward,2015,MIP,20
Kawhi Leonard,2015,MIP,20
Marc Gasol,2015,MIP,20
Meyers Leonard,2015,MIP,20
Robert Covington,2015,MIP,20
Tobias Harris,2015,MIP,20
Tyreke Evans,2015,MIP,20
CJ McCollum,2016,MIP,1
Kemba Walker,2016,MIP,2
Giannis Antetokounmpo,2016,MIP,3
Stephen Curry,2016,MIP,4
Will Barton,2016,MIP,5
Jae Crowder,2016,MIP,6
Draymond Green,2016,MIP,7
Isaiah Thomas,2016,MIP,8
Hassan Whiteside,2016,MIP,9
Kawhi Leonard,2016,MIP,10
Andre Drummond,2016,MIP,11
Gary Harris,2016,MIP,12
Evan Fournier,2016,MIP,13
Kent Bazemore,2016,MIP,13
Ian Mahinmi,2016,MIP,15
Reggie Jackson,2016,MIP,15
Rodney Hood,2016,MIP,15
Russell Westbrook,2016,MIP,15
Kyle Lowry,2016,MIP,19
Zach LaVine,2016,MIP,19
Giannis Antetokounmpo,2017,MIP,1
Nikola Jokic,2017,MIP,2
Rudy Gobert,2017,MIP,3
Otto Porter,2017,MIP,4
Isaiah Thomas,2017,MIP,5
James Johnson,2017,MIP,6
Bradley Beal,2017,MIP,7
Devin Booker,2017,MIP,8
Tim Hardaway,2017,MIP,9
Mike Conley,2017,MIP,10
Dion Waiters,2017,MIP,11
Dennis Schroeder,2017,MIP,12
Gordon Hayward,2017,MIP,12
Jusuf Nurkic,2017,MIP,12
Kristaps Porzingis,2017,MIP,12
Gary Harris,2017,MIP,16
Harrison Barnes,2017,MIP,16
Myles Turner,2017,MIP,16
Seth Curry,2017,MIP,16
Avery Bradley,2017,MIP,20
Clint Capela,2017,MIP,20
DeMar DeRozan,2017,MIP,20
Hassan Whiteside,2017,MIP,20
Joe Ingles,2017,MIP,20
John Wall,2017,MIP,20
Victor Oladipo,2018,MIP,1
Clint Capela,2018,MIP,2
Spencer Dinwiddie,2018,MIP,3
Andre Drummond,2018,MIP,4
Julius Randle,2018,MIP,5
Steven Adams,2018,MIP,6
Jaylen Brown,2018,MIP,7
Jamal Murray,2018,MIP,8
DeMar DeRozan,2018,MIP,9
Louis Williams,2018,MIP,10
Terry Rozier,2018,MIP,10
Giannis Antetokounmpo,2018,MIP,12
Domantas Sabonis,2018,MIP,13
E'Twaun Moore,2018,MIP,13
Fred VanVleet,2018,MIP,13
Nikola Jokic,2018,MIP,13
Brandon Ingram,2018,MIP,17
Dejounte Murray,2018,MIP,17
Tyreke Evans,2018,MIP,17
Dario Saric,2018,MIP,20
Joe Ingles,2018,MIP,20
Tobias Harris,2018,MIP,20
Aaron Gordon,2018,MIP,23
Kris Dunn,2018,MIP,23
Josh Richardson,2018,MIP,25
Karl-Anthony Towns,2018,MIP,25
Kristaps Porzingis,2018,MIP,25
Montrezl Harrell,2018,MIP,25
Pascal Siakam,2018,MIP,25
Ricky Rubio,2018,MIP,25
Taurean Prince,2018,MIP,25
TJ Warren,2018,MIP,25
Pascal Siakam,2019,MIP,1
D'Angelo Russell,2019,MIP,2
De'Aaron Fox,2019,MIP,3
Buddy Hield,2019,MIP,4
Nikola Vucevic,2019,MIP,5
Domantas Sabonis,2019,MIP,6
Montrezl Harrell,2019,MIP,7
Derrick Rose,2019,MIP,8
John Collins,2019,MIP,9
Giannis Antetokounmpo,2019,MIP,10
Danilo Gallinari,2019,MIP,11
Malik Beasley,2019,MIP,11
Paul George,2019,MIP,11
Bojan Bogdanovic,2019,MIP,14
Thomas Bryant,2019,MIP,14
Bryn Forbes,2019,MIP,16
Derrick White,2019,MIP,16
Jerami Grant,2019,MIP,16
Josh Richardson,2019,MIP,16
Spencer Dinwiddie,2019,MIP,16
Willie Cauley-Stein,2019,MIP,16
Zach LaVine,2019,MIP,16
Brandon Ingram,2020,MIP,1
Bam Adebayo,2020,MIP,2
Luka Doncic,2020,MIP,3
Jayson Tatum,2020,MIP,4
Devonte Graham,2020,MIP,5
Shai Gilgeous-Alexander,2020,MIP,6
Pascal Siakam,2020,MIP,7
Christian Wood,2020,MIP,8
Trae Young,2020,MIP,9
Fred VanVleet,2020,MIP,10
Davis Bertans,2020,MIP,11
Jaylen Brown,2020,MIP,11
Markelle Fultz,2020,MIP,13
Duncan Robinson,2020,MIP,14
Spencer Dinwiddie,2020,MIP,14
Julius Randle,2021,MIP,1
Jerami Grant,2021,MIP,2
Michael Porter,2021,MIP,3
Christian Wood,2021,MIP,4
Zach LaVine,2021,MIP,5
Chris Boucher,2021,MIP,6
Jaylen Brown,2021,MIP,6
Mikal Bridges,2021,MIP,8
Zion Williamson,2021,MIP,9
Clint Capela,2021,MIP,10
Darius Garland,2021,MIP,10
Jordan Clarkson,2021,MIP,10
Jordan Poole,2021,MIP,10
Luguentz Dort,2021,MIP,10
Nikola Vucevic,2021,MIP,10
Kyle Anderson,2021,MIP,16
Miles Bridges,2021,MIP,16
RJ Barrett,2021,MIP,16
Andrew Wiggins,2021,MIP,19
Bojan Bogdanovic,2021,MIP,19
Lonzo Ball,2021,MIP,19
Richaun Holmes,2021,MIP,19
Shai Gilgeous-Alexander,2021,MIP,19
Terry Rozier,2021,MIP,19
TJ McConnell,2021,MIP,19
Ja Morant,2022,MIP,1
Dejounte Murray,2022,MIP,2
Darius Garland,2022,MIP,3
Jordan Poole,2022,MIP,4
Desmond Bane,2022,MIP,5
Tyrese Maxey,2022,MIP,6
Miles Bridges,2022,MIP,7
Anfernee Simons,2022,MIP,8
Robert Williams,2022,MIP,9
Jaren Jackson,2022,MIP,10
Jalen Brunson,2022,MIP,11
Max Strus,2022,MIP,12
Lauri Markkanen,2023,MIP,1
Shai Gilgeous-Alexander,2023,MIP,2
Jalen Brunson,2023,MIP,3
Mikal Bridges,2023,MIP,4
Nicolas Claxton,2023,MIP,5
Tyrese Haliburton,2023,MIP,6
Trey Murphy,2023,MIP,7
De'Aaron Fox,2023,MIP,8
Kevon Looney,2023,MIP,8
Austin Reaves,2023,MIP,10
Aaron Gordon,2023,MIP,11
Jaren Jackson,2023,MIP,11
Malik Monk,2023,MIP,11
Tyrese Maxey,2024,MIP,1
Coby White,2024,MIP,2
Alperen Sengun,2024,MIP,3
Jalen Williams,2024,MIP,4
Jalen Brunson,2024,MIP,5
Deni Avdija,2024,MIP,6
Cam Thomas,2024,MIP,7
Jalen Suggs,2024,MIP,8
Tyrese Haliburton,2024,MIP,9
Duncan Robinson,2024,MIP,10
Grayson Allen,2024,MIP,10
Devin Vassell,2024,MIP,12
Shai Gilgeous-Alexander,2024,MIP,12
Aaron Nesmith,2024,MIP,14
Shaquille O'Neal,2000,MVP,1
Kevin Garnett,2000,MVP,2
Alonzo Mourning,2000,MVP,3
Karl Malone,2000,MVP,4
Tim Duncan,2000,MVP,5
Gary Payton,2000,MVP,6
Allen Iverson,2000,MVP,7
Grant Hill,2000,MVP,8
Chris Webber,2000,MVP,9
Vince Carter,2000,MVP,10
Jason Kidd,2000,MVP,11
Kobe Bryant,2000,MVP,12
Darrell Armstrong,2000,MVP,13
Jalen Rose,2000,MVP,13
Michael Finley,2000,MVP,13
Reggie Miller,2000,MVP,13
Bob Pettit,1956,MVP,1
Paul Arizin,1956,MVP,2
Bob Cousy,1956,MVP,3
Mel Hutchins,1956,MVP,4
Bill Sharman,1956,MVP,5
Dolph Schayes,1956,MVP,5
Maurice Stokes,1956,MVP,7
Tom Gola,1956,MVP,7
Bob Cousy,1957,MVP,1
Bob Pettit,1957,MVP,2
Paul Arizin,1957,MVP,3
Dolph Schayes,1957,MVP,4
George Yardley,1957,MVP,5
Maurice Stokes,1957,MVP,6
Bill Russell,1957,MVP,7
Harry Gallatin,1957,MVP,8
Jack Twyman,1957,MVP,8
Kenny Sears,1957,MVP,8
Mel Hutchins,1957,MVP,8
Ray Felix,1957,MVP,8
Bill Russell,1958,MVP,1
Dolph Schayes,1958,MVP,2
George Yardley,1958,MVP,3
Bob Pettit,1958,MVP,4
Maurice Stokes,1958,MVP,5
Bob Cousy,1958,MVP,6
Bill Sharman,1958,MVP,7
Paul Arizin,1958,MVP,8
Walter Dukes,1958,MVP,9
Vern Mikkelsen,1958,MVP,10
Cliff Hagan,1958,MVP,11
Clyde Lovellette,1958,MVP,12
Kenny Sears,1958,MVP,12
Neil Johnston,1958,MVP,12
Bob Pettit,1959,MVP,1
Bill Russell,1959,MVP,2
Elgin Baylor,1959,MVP,3
Bob Cousy,1959,MVP,4
Paul Arizin,1959,MVP,5
Dolph Schayes,1959,MVP,6
Larry Costello,1959,MVP,7
Kenny Sears,1959,MVP,8
Cliff Hagan,1959,MVP,9
Jack Twyman,1959,MVP,10
Dick McGuire,1959,MVP,11
Richie Guerin,1959,MVP,11
Tom Gola,1959,MVP,11
Al Bianchi,1959,MVP,14
Gene Shue,1959,MVP,14
Wilt Chamberlain,1960,MVP,1
Bill Russell,1960,MVP,2
Bob Pettit,1960,MVP,3
Bob Cousy,1960,MVP,4
Elgin Baylor,1960,MVP,5
Jack Twyman,1960,MVP,6
Gene Shue,1960,MVP,7
Dolph Schayes,1960,MVP,8
Tom Gola,1960,MVP,8
Tommy Heinsohn,1960,MVP,10
Walter Dukes,1960,MVP,11
Richie Guerin,1960,MVP,12
Willie Naulls,1960,MVP,12
Cliff Hagan,1960,MVP,14
Bill Russell,1961,MVP,1
Bob Pettit,1961,MVP,2
Elgin Baylor,1961,MVP,3
Wilt Chamberlain,1961,MVP,4
Oscar Robertson,1961,MVP,5
Bob Cousy,1961,MVP,6
Tommy Heinsohn,1961,MVP,7
Dolph Schayes,1961,MVP,8
Bailey Howell,1961,MVP,9
Gene Shue,1961,MVP,10
Jack Twyman,1961,MVP,11
Jerry West,1961,MVP,12
Clyde Lovellette,1961,MVP,13
Cliff Hagan,1961,MVP,14
Richie Guerin,1961,MVP,15
Kenny Sears,1961,MVP,16
Paul Arizin,1961,MVP,16
Willie Naulls,1961,MVP,16
Bill Russell,1962,MVP,1
Wilt Chamberlain,1962,MVP,2
Oscar Robertson,1962,MVP,3
Elgin Baylor,1962,MVP,4
Jerry West,1962,MVP,5
Bob Pettit,1962,MVP,6
Richie Guerin,1962,MVP,7
Bob Cousy,1962,MVP,8
Bill Russell,1963,MVP,1
Elgin Baylor,1963,MVP,2
Oscar Robertson,1963,MVP,3
Bob Pettit,1963,MVP,4
Jerry West,1963,MVP,5
Red Kerr,1963,MVP,6
Wilt Chamberlain,1963,MVP,7
Bob Cousy,1963,MVP,8
Terry Dischinger,1963,MVP,8
John Havlicek,1963,MVP,10
John Barnhill,1963,MVP,11
Walt Bellamy,1963,MVP,11
Oscar Robertson,1964,MVP,1
