,,YEAR,PLAYER,NB CODE,POS,BODY FAT %,HAND SIZE,WEIGHT (LBS),HEIGHT,STANDING,WINGSPAN,HEIGHT W/O SHOES,WINGSPAN,STANDING REACH,LANE AGILITY,SHUTTLE RUN,3/4 SPRINT,STANDING VERT,MAX VERT,MAX BENCH
1,2020,2019,Zach Norvell,Zach Norvell Jr.,SG,7.50%,80.75,206.4,76.5,101,78,6' 4.5'',6' 6'',8' 5'',11.6,3.34,3.43,24,30,
7,2025,2018,Aaron Holiday,Aaron Holiday,PG,6.40%,74.375,187,71.75,97,79.5,5' 11.75'',6' 7.5'',8' 1'',10.96,3.22,3.27,25.5,33,
5,2023,2018,Alize Johnson,Alize Johnson,PF,8.10%,82.875,216.6,79.25,103,80.75,6' 7.25'',6' 8.75'',8' 7'',11.83,3.28,3.38,25,31,8
2,2020,2018,Allonzo Trier,Allonzo Trier,SG,4.95%,86.625,198,75.75,98,78.75,6' 3.75'',6' 6.75'',8' 2'',11.02,2.97,3.14,32,40,11
7,2025,2018,Anfernee Simons,Anfernee Simons,SGPG,7.70%,78.75,183.2,74.25,99.5,81.25,6' 2.25'',6' 9.25'',8' 3.5'',11.27,3.16,3.1,32,41.5,1
-2018,,2018,Austin Wiley,Austin Wiley,C,5.00%,99.9375,249.4,80.25,111,89,6' 8.25'',7' 5'',9' 3'',12.79,3.27,3.3,28,33.5,14
-2018,,2018,Billy Preston,Billy Preston,PF,5.45%,87.875,222.4,80.75,108,86,6' 8.75'',7' 2'',9' 0'',11.26,3.35,3.2,25,33,0
-2018,,2018,Brandon McCoy,Brandon McCoy,C,8.70%,92.625,250.4,83.5,110.5,86,6' 11.5'',7' 2'',9' 2.5'',11.77,3.31,3.23,27.5,32,9
3,2021,2018,Brian Bowen,Brian Bowen,SGSF,7.60%,90,202,78.25,103.5,82.25,6' 6.25'',6' 10.25'',8' 7.5'',11.58,3.33,3.28,30.5,34,0
7,2025,2018,Bruce Brown,Bruce Brown,SGPG,3.75%,72.25,194.6,75.5,98.5,81,6' 3.5'',6' 9'',8' 2.5'',11.11,3.44,3.2,32.5,38,17
7,2025,2018,Bruno Fernando,Bruno Fernando,C,5.25%,95,233.2,80.75,109,88.25,6' 8.75'',7' 4.25'',9' 1'',11.29,3.05,3.21,29.5,33.5,13
7,2025,2018,Caleb Martin,Caleb Martin,SFSG,7.00%,74.375,195.8,76.75,101.5,82,6' 4.75'',6' 10'',8' 5.5'',10.43,2.75,3.26,29,36.5,6
4,2022,2018,Carsen Edwards,Carsen Edwards,PG,6.30%,78.625,195.6,70.75,94.5,78.25,5' 10.75'',6' 6.25'',7' 10.5'',10.53,2.82,3.22,28.5,34,14
6,2024,2018,Chimezie Metu,Chimezie Metu,PFC,5.05%,83.25,219.6,80.5,108,84.5,6' 8.5'',7' 0.5'',9' 0'',11.89,3.25,3.33,29.5,36,5
7,2025,2018,Cody Martin,Cody Martin,SGSF,5.45%,76.5,188.6,76.75,102.5,82.25,6' 4.75'',6' 10.25'',8' 6.5'',10.44,2.99,3.32,28,35.5,7
7,2025,2018,Collin Sexton,Collin Sexton,PG,5.60%,70.125,183,72.5,98.5,79.25,6' 0.5'',6' 7.25'',8' 2.5'',,,,,,
7,2025,2018,De'Anthony Melton,DeAnthony Melton,SGPG,5.20%,80.75,193.2,74.25,99.5,80.5,6' 2.25'',6' 8.5'',8' 3.5'',11.48,3.33,3.23,31,36.5,1
2,2020,2018,Devon Hall,Devon Hall,SG,8.45%,85,206.4,76.25,102,79.75,6' 4.25'',6' 7.75'',8' 6'',10.95,3.16,3.27,25,31,6
6,2024,2018,Devonte Graham,Devonte Graham,PG,4.80%,80.75,186.4,72.25,96,78.25,6' 0.25'',6' 6.25'',8' 0'',11.28,3.15,3.21,31,37,14
7,2025,2018,Donte DiVincenzo,Donte DiVincenzo,SG,5.00%,74.25,200.6,75.5,97.5,78,6' 3.5'',6' 6'',8' 1.5'',10.72,3.12,3.11,34.5,42,12
7,2025,2018,Gary Trent Jr,Gary Trent,SG,7.00%,80.75,204.2,76.25,98,80.75,6' 4.25'',6' 8.75'',8' 2'',11.37,2.99,3.12,33.5,39.5,12
4,2022,2018,George King,George King,SFSG,7.25%,92.25,218.6,76.75,101.5,83.5,6' 4.75'',6' 11.5'',8' 5.5'',10.75,3.08,3.29,31,39,15
7,2025,2018,Grayson Allen,Grayson Allen,SG,5.55%,82.5,198,75,97,79.25,6' 3'',6' 7.25'',8' 1'',10.31,3.04,3.15,32.5,40.5,
6,2024,2018,Hamidou Diallo,Hamidou Diallo,SG,4.45%,78.75,197,76.25,103,83.5,6' 4.25'',6' 11.5'',8' 7'',10.53,3.14,3.1,32.5,40.5,1
-2018,,2018,Isaac Haas,Isaac Haas,C,12.55%,105,303,85.25,111.5,89,7' 1.25'',7' 5'',9' 3.5'',,,,,,
2,2020,2018,Jacob Evans,Jacob Evans,SGSF,6.50%,83.25,199.6,76.25,102.5,81.25,6' 4.25'',6' 9.25'',8' 6.5'',11.11,3.14,3.2,28,35.5,8
7,2025,2018,Jalen Brunson,Jalen Brunson,PG,6.70%,76.3125,198.4,73,96,76,6' 1'',6' 4'',8' 0'',10.59,3.11,3.15,29,37,7
7,2025,2018,Jaren Jackson Jr,Jaren Jackson,PFC,7.20%,100,236,81.75,110,89.25,6' 9.75'',7' 5.25'',9' 2'',,,,,,
-2018,,2018,Jaylen Barford,Jaylen Barford,PGSG,11.65%,66,207.6,73.25,96.5,75.5,6' 1.25'',6' 3.5'',8' 0.5'',11.39,3.21,3.31,27,33,7
-2018,,2018,Jaylen Hands,Jaylen Hands,PG,5.00%,64,179,73.5,98,77.5,6' 1.5'',6' 5.5'',8' 2'',12.11,3.16,3.13,31.5,39.5,6
,2024,2018,Jerome Robinson,Jerome Robinson,SG,6.05%,90,188.4,76,98,79.25,6' 4'',6' 7.25'',8' 2'',,,,,,
7,2025,2018,Jevon Carter,Jevon Carter,PG,4.15%,78.625,196.2,72.25,95,76.25,6' 0.25'',6' 4.25'',7' 11'',11.04,3.05,3.18,29,36.5,14
6,2024,2018,Jontay Porter,Jontay Porter,CPF,13.85%,83.125,236,82,109,84.25,6' 10'',7' 0.25'',9' 1'',11.9,3.07,3.4,25.5,31,9
7,2025,2018,Josh Okogie,Josh Okogie,SG,5.20%,87.75,210.8,75,102,84,6' 3'',7' 0'',8' 6'',11.08,3.03,3.04,33,42,12
-2018,,2018,Justin Jackson (1997),Justin Jackson (1997),PF,8.90%,85.5,229.4,78,105,87,6' 6'',7' 3'',8' 9'',11.32,2.96,3.26,29.5,34.5,
-2018,,2018,Keenan Evans,Keenan Evans,PG,6.50%,68,183.2,73.5,98,77.25,6' 1.5'',6' 5.25'',8' 2'',,,,,,
6,2024,2018,Keita Bates-Diop,Keita BatesDiop,SGSF,5.35%,76.5,223.8,79.25,106.5,87.25,6' 7.25'',7' 3.25'',8' 10.5'',11.2,3.28,3.17,30.5,35,11
7,2025,2018,Kenrich Williams,Kenrich Williams,SF,5.95%,82.875,200.4,78,103.5,79.25,6' 6'',6' 7.25'',8' 7.5'',10.86,3.28,3.19,28,33,14
2,2020,2018,Kevin Hervey,Kevin Hervey,PF,5.15%,94.8125,211.6,78.5,107,87.5,6' 6.5'',7' 3.5'',8' 11'',11.28,3.15,3.36,27.5,32,4
7,2025,2018,Kevin Huerter,Kevin Huerter,SG,8.60%,70.125,194,78.25,101.5,79.5,6' 6.25'',6' 7.5'',8' 5.5'',10.89,2.97,3.09,31,38,9
7,2025,2018,Kevin Knox,Kevin Knox,SF,4.95%,80.9375,212.6,79.75,108,83.75,6' 7.75'',6' 11.75'',9' 0'',,,,,,
3,2021,2018,Khyri Thomas,Khyri Thomas,SG,6.40%,80.9375,198.8,74.5,101,82.5,6' 2.5'',6' 10.5'',8' 5'',10.96,3.18,3.18,30,35,14
3,2021,2018,Kostas Antetokounmpo,Kostas Antetokounmpo,PF,5.00%,87.875,194.8,81,110,86.25,6' 9'',7' 2.25'',9' 2'',12.48,3.48,3.21,29.5,35,0
-2018,,2018,Kris Wilkes,Kris Wilkes,SF,5.15%,80.9375,205,78.5,103.5,82.25,6' 6.5'',6' 10.25'',8' 7.5'',10.39,3.09,3.34,27.5,35,4
7,2025,2018,Landry Shamet,Landry Shamet,PG,4.85%,72,188.6,76,100,78.75,6' 4'',6' 6.75'',8' 4'',11.26,3.21,3.11,31,39.5,8
7,2025,2018,Lonnie Walker,Lonnie Walker,SG,5.65%,85.5,196.2,75.75,99.5,82.25,6' 3.75'',6' 10.25'',8' 3.5'',10.87,2.91,3.06,31.5,40,12
4,2022,2018,Malik Newman,Malik Newman,SG,6.25%,80.75,189.2,74.5,98.5,77.5,6' 2.5'',6' 5.5'',8' 2.5'',10.9,3.18,3.13,27.5,33.5,
4,2022,2018,Melvin Frazier,Melvin Frazier,SFSG,7.90%,90.25,198.2,76.5,105,85.75,6' 4.5'',7' 1.75'',8' 9'',11.24,3.08,3.08,31,40.5,0
7,2025,2018,Michael Porter,Michael Porter,SFPF,6.40%,80.9375,211,81.5,108.5,84.25,6' 9.5'',7' 0.25'',9' 0.5'',,,,,,
7,2025,2018,Miles Bridges,Miles Bridges,SF,5.90%,87.75,220.4,77.25,103.5,81.5,6' 5.25'',6' 9.5'',8' 7.5'',,,,,,
7,2025,2018,Mo Bamba,Mohamed Bamba,C,6.20%,99.9375,225.6,83.25,115.5,94,6' 11.25'',7' 10'',9' 7.5'',,,,,,
7,2025,2018,Moritz Wagner,Moritz Wagner,CPF,6.75%,96.75,241.4,82.5,108,84,6' 10.5'',7' 0'',9' 0'',12,2.98,3.35,25.5,32.5,
2,2020,2018,Omari Spellman,Omari Spellman,PFC,13.75%,81,253.8,80,107.5,86,6' 8'',7' 2'',8' 11.5'',12.28,3.35,3.38,28.5,35.5,8
7,2025,2018,PJ Washington,PJ Washington,PF,6.85%,92.25,223,78.5,107,86.5,6' 6.5'',7' 2.5'',8' 11'',11.39,3.43,3.2,27,34,3
1,2019,2018,Rawle Alkins,Rawle Alkins,SG,8.90%,85,217.4,74.75,99,80.75,6' 2.75'',6' 8.75'',8' 3'',11.99,3.18,3.3,31.5,40.5,7
3,2021,2018,Raymond Spalding,Spalding Ray,PF,5.55%,83.25,215.4,81,109,88.75,6' 9'',7' 4.75'',9' 1'',,,,,,
-2018,,2018,Sagaba Konate,Sagaba Konate,C,7.35%,92.5,246,78.5,106.5,84,6' 6.5'',7' 0'',8' 10.5'',12.28,3.36,3.28,31.5,35,12
7,2025,2018,Shai Gilgeous-Alexander,Shai GilgeousAlexander,PG,3.00%,81,180,76.5,104,83.5,6' 4.5'',6' 11.5'',8' 8'',,,,,,
7,2025,2018,Shake Milton,Shake Milton,SGPG,6.80%,83.125,207.2,76.5,99.5,84.75,6' 4.5'',7' 0.75'',8' 3.5'',11.07,3.19,3.25,30,33,2
7,2025,2018,Sviatoslav Mykhailiuk,Sviatoslav Mykhailiuk,SGSF,8.45%,78.375,211.6,78.5,100,76.75,6' 6.5'',6' 4.75'',8' 4'',11.25,3.18,3.15,30.5,37,4
5,2023,2018,Theo Pinson,Theo Pinson,SGSF,7.35%,81,211.2,77,103.5,82.75,6' 5'',6' 10.75'',8' 7.5'',11.53,3.11,3.22,27,34,7
-2018,,2018,Tony Carr,Tony Carr,PG,6.50%,82.875,198.8,75,100,80.25,6' 3'',6' 8.25'',8' 4'',11.89,3.4,3.17,25,31.5,0
1,2019,2018,Trevon Duval,Trevon Duval,PG,5.20%,87.5,191,73.5,97.5,80.25,6' 1.5'',6' 8.25'',8' 1.5'',10.93,3.09,3.18,34,41.5,6
6,2024,2018,Troy Brown,Troy Brown,SF,7.05%,87.75,208,77.75,105,82.25,6' 5.75'',6' 10.25'',8' 9'',11.51,3.29,3.33,26,33,5
-2018,,2018,Tyus Battle,Tyus Battle,SG,4.00%,78.625,200.2,77,102,81,6' 5'',6' 9'',8' 6'',11.04,2.87,3.07,32,37.5,9
6,2024,2018,Udoka Azubuike,Udoka Azubuike,C,7.95%,95,273.8,82,112.5,91,6' 10'',7' 7'',9' 4.5'',12.97,3.65,3.12,31,31.5,11
7,2025,2018,Wendell Carter Jr,Wendell Carter,CPF,7.85%,76.5,251.4,80.75,109,88.5,6' 8.75'',7' 4.5'',9' 1'',,,,,,
1,2019,2018,Yante Maten,Yante Maten,PFC,8.10%,92.5,246.2,79.25,107.5,84.5,6' 7.25'',7' 0.5'',8' 11.5'',11.35,3.13,3.17,27,31.5,18
2,2020,2018,Zhaire Smith,Zhaire Smith,SFSG,6.05%,72.1875,198.6,74.75,100,81.75,6' 2.75'',6' 9.75'',8' 4'',11.02,3.15,3.05,33,41.5,10
1,2018,2017,Alec Peters,Alec Peters,PF,8.80%,87.5,232,79.25,105,82.75,6' 7.25'',6' 10.75'',8' 9'',,,,,,
-2017,,2017,Andrew Jones,Andrew Jones,SG,4.90%,76.5,185,75,99.5,78.5,6' 3'',6' 6.5'',8' 3.5'',,,,,,
8,2025,2017,Bam Adebayo,Edrice Adebayo,PFC,5.20%,83.125,242.6,80.75,108,86.75,6' 8.75'',7' 2.75'',9' 0'',11.94,3.24,3.24,33.5,38.5,12
3,2020,2017,Caleb Swanigan,Caleb Swanigan,PF,,97.375,245.6,79.5,108,87,6' 7.5'',7' 3'',9' 0'',12.8,,,26,29,
5,2022,2017,Cameron Oliver,Cameron Oliver,PF,7.70%,97.375,238.6,79,106.5,85.25,6' 7'',7' 1.25'',8' 10.5'',12.17,3.31,3.16,28,39.5,5
8,2025,2017,Chris Boucher,Chris Boucher,PF,5.40%,97.125,182.2,80,110.5,88,6' 8'',7' 4'',9' 2.5'',,,,,,
5,2022,2017,Damyean Dotson,Damyean Dotson,SGSF,5.30%,78.625,205.2,76.5,100,81,6' 4.5'',6' 9'',8' 4'',11.18,3.03,3.13,31.5,38,13
6,2023,2017,Davon Reed,Davon Reed,SGSF,6.50%,87.875,206.2,76.5,102,84,6' 4.5'',7' 0'',8' 6'',11.37,3.21,3.34,28.5,36,12
8,2025,2017,De'Aaron Fox,De?Aaron Fox,PG,4.50%,72.25,169.6,74,100,78.5,6' 2'',6' 6.5'',8' 4'',,,,,,
5,2022,2017,Derrick Walton,Derrick Walton Jr.,PG,5.80%,68,188.6,71,95,74.5,5' 11'',6' 2.5'',7' 11'',11.28,3.12,3.29,26,32.5,9
8,2025,2017,Derrick White,Derrick White,PG,6.20%,70.125,189.8,75.25,101.5,79.5,6' 3.25'',6' 7.5'',8' 5.5'',10.84,2.92,3.08,31,36.5,10
2,2019,2017,Devin Robinson,Devin Robinson,SF,3.20%,94.8125,189.6,79,106,84.75,6' 7'',7' 0.75'',8' 10'',12.85,3.61,3.23,35.5,41.5,10
8,2025,2017,Dillon Brooks,Dillon Brooks,SGSF,7.50%,76.3125,220.2,77,100.5,78,6' 5'',6' 6'',8' 4.5'',11.14,3.24,3.21,31,37.5,16
7,2024,2017,DJ Wilson,D.J. Wilson,PF,6.40%,94.8125,234.4,80.75,109.5,87,6' 8.75'',7' 3'',9' 1.5'',,,,,,
8,2025,2017,Donovan Mitchell,Donovan Mitchell,SG,5.90%,80.75,211.4,73.25,97,82,6' 1.25'',6' 10'',8' 1'',11.53,3.07,3.01,36.5,40.5,10
4,2021,2017,Dwayne Bacon,Dwayne Bacon,SGSF,7.90%,87.5,221.6,76.75,103.5,82,6' 4.75'',6' 10'',8' 7.5'',11.7,3.22,3.22,30,36.5,8
6,2023,2017,Edmond Sumner,Edmond Sumner,PG,8.30%,74.25,176.4,76,102.5,81,6' 4'',6' 9'',8' 6.5'',,,,,,
3,2020,2017,Eric Mika,Eric Mika,PFC,6.50%,72.1875,232.8,80.5,106.5,82,6' 8.5'',6' 10'',8' 10.5'',,,,,,
6,2023,2017,Frank Jackson,Frank Jackson,PG,6.70%,74.25,201.6,74,98,79.5,6' 2'',6' 7.5'',8' 2'',10.94,2.7,3.14,34.5,42,9
4,2021,2017,Frank Mason,Frank Mason III,PG,4.30%,74,188.8,71,94,75.25,5' 11'',6' 3.25'',7' 10'',11.41,3.09,3.18,34,41,15
7,2024,2017,Hamidou Diallo,Hamidou Diallo,SGSF,5.20%,80.75,197.4,75.75,101.5,83.25,6' 3.75'',6' 11.25'',8' 5.5'',10.53,3.14,3.1,32.5,40.5,1
7,2024,2017,Harry Giles,Harry Giles,PF,5.20%,102.125,232,81.25,109.5,87.25,6' 9.25'',7' 3.25'',9' 1.5'',11.08,3,3.34,27,32.5,5
2,2019,2017,Ike Anigbogu,Ike Anigbogu,C,5.40%,95,252.2,80.5,110.5,90.25,6' 8.5'',7' 6.25'',9' 2.5'',12.52,3.48,3.44,29.5,32.5,11
2,2019,2017,Isaiah Briscoe,Isaiah Briscoe,PG,11.00%,83.25,222.4,73.25,99.5,81,6' 1.25'',6' 9'',8' 3.5'',10.95,2.85,3.38,28,33.5,11
2,2019,2017,Isaiah Hicks,Isaiah Hicks,PF,7.70%,85.3125,233.4,79.25,105,84.5,6' 7.25'',7' 0.5'',8' 9'',12.31,3.31,3.36,31.5,37,11
2,2019,2017,Ivan Rabb,Ivan Rabb,PF,6.80%,78.75,219.6,80.75,109,85.5,6' 8.75'',7' 1.5'',9' 1'',12.68,3.23,3.35,28.5,32.5,3
1,2018,2017,Jamel Artis,Jamel Artis,SGSF,11.90%,90.1875,213.2,77.5,105,82,6' 5.5'',6' 10'',8' 9'',11.62,3.08,3.44,23.5,31,5
2,2019,2017,Jaron Blossomgame,Jaron  Blossomgame,SF,5.70%,89.6875,218.6,77.75,104.5,82,6' 5.75'',6' 10'',8' 8.5'',,,,,,
8,2025,2017,Jarrett Allen,Jarrett Allen,C,7.40%,99.75,233.6,81,109.5,89.25,6' 9'',7' 5.25'',9' 1.5'',11.82,3,3.21,31.5,35.5,4
2,2019,2017,Jawun Evans,Jawun Evans,PG,9.10%,62,185.2,70.75,95,77.5,5' 10.75'',6' 5.5'',7' 11'',11.34,3.26,3.21,27.5,33.5,1
8,2025,2017,John Collins,John Collins,PF,5.40%,90,225.2,80.25,106.5,83.25,6' 8.25'',6' 11.25'',8' 10.5'',11.66,3.27,3.27,33,37.5,15
3,2020,2017,Johnathan Motley,Johnathan Motley,PF,,85.5,238.2,79.75,108,88,6' 7.75'',7' 4'',9' 0'',,,,,,
-2017,,2017,Jonathan Jeanne,Jonathan Jeanne,PFC,8.70%,95,207.4,84.75,113.5,90.5,7' 0.75'',7' 6.5'',9' 5.5'',,,,,,
5,2022,2017,Jordan Bell,Jordan Bell,PF,5.40%,87.875,223.6,79,104.5,83.75,6' 7'',6' 11.75'',8' 8.5'',10.63,2.83,3.21,31.5,38,16
8,2025,2017,Josh Hart,Josh Hart,SGSF,5.80%,80.75,209.2,75.75,101,80.25,6' 3.75'',6' 8.25'',8' 5'',11.15,3.02,3.18,27.5,35.5,9
7,2024,2017,Justin Jackson,Justin Jackson (UNC),SF,8.10%,80.9375,200.8,79,104.5,83,6' 7'',6' 11'',8' 8.5'',10.8,3.06,3.3,29.5,35.5,
-2017,,2017,Justin Jackson (UMD),Justin Jackson (UMD),SF,7.10%,85.5,219.4,77.75,107,87.25,6' 5.75'',7' 3.25'',8' 11'',11.78,3.08,3.43,26.5,31.5,
4,2021,2017,Justin Patton,Justin Patton,C,7.80%,85.3125,229,82,111.5,87,6' 10'',7' 3'',9' 3.5'',11.8,3.31,3.46,26,30.5,
3,2020,2017,Kadeem Allen,Kadeem Allen,PG,6.40%,74.375,192.4,73,99.5,81.25,6' 1'',6' 9.25'',8' 3.5'',11.24,2.98,3.15,33,35.5,7
-2017,,2017,Kennedy Meeks,Kennedy Meeks,C,11.50%,76.5625,276.6,80.75,106,85,6' 8.75'',7' 1'',8' 10'',12.91,3.35,3.5,28,30.5,15
7,2024,2017,Kobi Simmons,Kobi Simmons,PG,5.00%,80.75,166.2,75.25,99,78,6' 3.25'',6' 6'',8' 3'',11.15,2.98,3.18,30.5,38.5,3
8,2025,2017,Kyle Kuzma,Kyle Kuzma,SFSG,9.40%,80.75,222.6,80,107.5,84.25,6' 8'',7' 0.25'',8' 11.5'',10.72,2.98,3.25,27,34,12
8,2025,2017,Luke Kennard,Luke Kennard,SGSF,6.60%,70,196.2,76.5,98.5,77.25,6' 4.5'',6' 5.25'',8' 2.5'',,,,,,
-2017,,2017,Melo Trimble,Melo Trimble,PG,10.60%,70,195.2,73.25,95.5,74,6' 1.25'',6' 2'',7' 11.5'',10.75,2.92,3.27,24.5,32,6
8,2025,2017,Monte Morris,Monte Morris,PG,6.90%,72.1875,175.2,73.25,96.5,76,6' 1.25'',6' 4'',8' 0.5'',11,3.2,3.19,28,33.5,8
8,2025,2017,Moritz Wagner,Moritz Wagner,PF,6.70%,94.0625,231.2,82,108,84,6' 10'',7' 0'',9' 0'',12,2.98,3.35,25.5,32.5,
1,2018,2017,Nigel Hayes,Nigel Hayes,PF,11.50%,87.5,254.2,78.25,104.5,87.25,6' 6.25'',7' 3.25'',8' 8.5'',12.11,2.9,3.2,25.5,28.5,
3,2020,2017,Nigel Williams-Goss,Nigel WilliamsGoss,PG,5.60%,80.9375,190.2,73.5,99,79.25,6' 1.5'',6' 7.25'',8' 3'',10.42,3.08,3.19,27.5,34.5,10
8,2025,2017,OG Anunoby,OG Anunoby,SF,6.80%,87.875,232.4,78.25,107.5,86.25,6' 6.25'',7' 2.25'',8' 11.5'',,,,,,
-2017,,2017,Peter Jok,Peter Jok,SGSF,11.00%,78.375,202.4,76.25,102,80,6' 4.25'',6' 8'',8' 6'',11.34,2.93,3.41,26.5,31,
8,2025,2017,PJ Dozier,PJ Dozier,SG,6.10%,80.75,200.6,77.25,101,83,6' 5.25'',6' 11'',8' 5'',10.84,2.98,3.15,34,39,9
2,2019,2017,Rawle Alkins,Rawle Alkins,SGSF,11.00%,87.5,222.6,74.5,99,80.75,6' 2.5'',6' 8.75'',8' 3'',11.99,3.18,3.3,31.5,40.5,7
5,2022,2017,Semi Ojeleye,Semi Ojeleye,SFSG,5.50%,83.125,241.4,77.25,102,81.75,6' 5.25'',6' 9.75'',8' 6'',10.58,3.07,3.16,35,40.5,19
4,2021,2017,Sindarius Thornwell,Sindarius Thornwell,SGSF,7.80%,76.5625,211.6,75.5,103,82,6' 3.5'',6' 10'',8' 7'',11.48,3.03,3.36,27,30.5,15
8,2025,2017,Sviatoslav Mykhailiuk,Svi Mykhailiuk,SGSF,11.40%,74,219.6,78.5,100,77,6' 6.5'',6' 5'',8' 4'',12.4,3.25,3.53,27,33,8
4,2021,2017,Terrance Ferguson,Terrance Ferguson,SGSF,5.80%,85,184.4,77.5,103,80.75,6' 5.5'',6' 8.75'',8' 7'',11.16,3.22,3.32,28.5,38,
8,2025,2017,Thomas Bryant,Thomas Bryant,PFC,9.40%,97.375,247.8,81.5,112.5,90,6' 9.5'',7' 6'',9' 4.5'',11.42,3.12,3.37,25.5,33,7
2,2019,2017,Thomas Welsh,Thomas Welsh,PFC,10.90%,94.5,254,83.5,109.5,84,6' 11.5'',7' 0'',9' 1.5'',,,,,,11
4,2021,2017,TJ Leaf,TJ Leaf,PF,6.80%,80.75,222.2,80.75,107,83,6' 8.75'',6' 11'',8' 11'',11.55,3.27,3.27,29,34.5,6
8,2025,2017,Tony Bradley,Tony Bradley,C,12.00%,90.25,248.8,81.25,112.5,89,6' 9.25'',7' 5'',9' 4.5'',11.79,2.99,3.44,24.5,27.5,5
8,2025,2017,Trae Young,Trae Young,PG,5.35%,74,177.8,72.5,95.5,75,6' 0.5'',6' 3'',7' 11.5'',,,,,,
6,2023,2017,Tyler Dorsey,Tyler Dorsey,SG,4.70%,78.625,182.6,75,99.5,77.25,6' 3'',6' 5.25'',8' 3.5'',10.55,2.98,3.16,30.5,36,8
2,2019,2017,Tyler Lydon,Tyler Lydon,PF,13.60%,76.5625,215,80.25,107.5,84,6' 8.25'',7' 0'',8' 11.5'',11.68,2.81,3.46,29.5,33.5,1
-2017,,2017,V.J. Beachem,V.J. Beachem,SGSF,6.80%,76.5,193.4,78.25,104.5,82.25,6' 6.25'',6' 10.25'',8' 8.5'',11.18,3.19,3.26,30,37,11
5,2022,2017,Wesley Iwundu,Wesley Iwundu,SGSF,4.00%,83.125,193.4,77.5,105.5,85,6' 5.5'',7' 1'',8' 9.5'',11.25,3.23,3.36,31.5,36,5
8,2025,2017,Zach Collins,Zach Collins,PFC,8.90%,80.9375,232.2,82.25,111,85,6' 10.25'',7' 1'',9' 3'',,,,,,
-2016,,2016,AJ English,AJ English,PG,5.30%,74.375,182.2,74,98.5,82,6' 2'',6' 10'',8' 2.5'',,,,,,
6,2022,2016,Anthony Barber,Cat Barber,PG,4.50%,68,173,73.5,95.5,77.5,6' 1.5'',6' 5.5'',7' 11.5'',,,,,,
1,2017,2016,Ben Bentil,Ben Bentil,PF,9.70%,95,229.2,79.25,105,85.5,6' 7.25'',7' 1.5'',8' 9'',11.16,3.1,3.3,29,33,
2,2018,2016,Brice Johnson,Brice Johnson,PF,7.50%,74.25,208.6,81,106.5,84.5,6' 9'',7' 0.5'',8' 10.5'',11.88,2.94,3.2,33.5,38,
9,2025,2016,Buddy Hield,Buddy Hield,SG,6.10%,76.5,212.4,75.75,101,81.25,6' 3.75'',6' 9.25'',8' 5'',,,,,,
4,2020,2016,Caleb Swanigan,Caleb Swanigan,PF,12.55%,92.25,246.6,79.5,107,87.5,6' 7.5'',7' 3.5'',8' 11'',12.8,,,26,29,
9,2025,2016,Caris LeVert,Caris LeVert,SG,7.55%,78.625,191,77.75,101,82,6' 5.75'',6' 10'',8' 5'',,,,,,
6,2022,2016,Cheick Diallo,Cheick Diallo,PF,5.60%,82.875,218.6,79.5,107.5,88.5,6' 7.5'',7' 4.5'',8' 11.5'',11.24,3.3,3.26,31,35,
2,2018,2016,Chinanu Onuaku,Chinanu Onuaku,C,8.55%,72,245.2,81,108.5,86.75,6' 9'',7' 2.75'',9' 0.5'',11.65,3,3.5,27.5,33.5,
8,2024,2016,Damian Jones,Damian Jones,C,6.55%,91.875,243.6,82.25,107,87.75,6' 10.25'',7' 3.75'',8' 11'',11.35,3.12,3.2,36,37,
3,2019,2016,Daniel Hamilton,Daniel Hamilton,SGSF,5.95%,76.5,197,78.25,103.5,81,6' 6.25'',6' 9'',8' 7.5'',11.48,3.2,3.4,26,29,
6,2022,2016,DeAndre Bembry,DeAndre Bembry,SGSF,7.00%,74,206.6,76.25,101,81.25,6' 4.25'',6' 9.25'',8' 5'',10.9,2.87,3.17,32,38,
-2016,,2016,Dedric Lawson,Dedric Lawson,PF,11.05%,90.25,224.8,79,106.5,86.5,6' 7'',7' 2.5'',8' 10.5'',11.8,3.54,3.6,23.5,26,10
3,2019,2016,Demetrius Jackson,Demetrius Jackson,PG,6.50%,74.25,193.8,72,93,77.5,6' 0'',6' 5.5'',7' 9'',10.81,2.87,3.25,37.5,43.5,
6,2022,2016,Denzel Valentine,Denzel Valentine,SGSF,9.20%,82.875,210.4,76,102,82.75,6' 4'',6' 10.75'',8' 6'',10.51,3.22,3.46,27,32,
3,2019,2016,Deyonta Davis,Deyonta Davis,PF,9.70%,83.25,237.2,81.25,108.5,86.5,6' 9.25'',7' 2.5'',9' 0.5'',,,,,,
1,2017,2016,Diamond Stone,Diamond Stone,C,12.85%,65.875,254.4,81,108.5,86.75,6' 9'',7' 2.75'',9' 0.5'',12.02,3.22,3.5,27,29.5,
9,2025,2016,Dorian Finney-Smith,Dorian FinneySmith,SF,6.45%,87.75,212.6,78.5,105.5,83.75,6' 6.5'',6' 11.75'',8' 9.5'',11.01,3.04,3.27,32.5,35.5,
-2016,,2016,Elgin Cook,Elgin Cook,SF,6.35%,87.125,209.8,77,100.5,82,6' 5'',6' 10'',8' 4.5'',,,,,,
